window,model,parameter,estimate,stderr,across_start_sd,estimate_trainfit
national_2013,climate,beta_0,0.15986901995224106,0.007489854224022789,0.07190061688133491,0.15051503879175004
national_2013,climate,a_temp,0.21460023467906633,0.05536022128446901,0.8030733219516601,0.022598771473910064
national_2013,climate,a_rain,-0.13438969731505,0.042243943363503136,0.5765607279554987,0.02291834961480116
national_2013,climate,pop_frac,0.004294071734980447,0.0014801759103190378,0.31152852351522586,0.0023440727909584823
national_2013,climate,i0_frac,0.0008990566367544484,0.001359355114966355,0.0004095050449399938,4.807759031789147e-06
national_2013,constant,beta_0,0.1371987677860975,0.005986440210456927,0.044316496922972924,0.15506338836594802
national_2013,constant,pop_frac,0.002614467119197779,0.0014627098469802838,0.3990752594189769,0.0021853757044017676
national_2013,constant,i0_frac,6.192805695376094e-06,1.0423916188834409e-05,2.476952929717219e-06,4.607889976104511e-07
sindh_2021,climate,beta_0,0.10250755983870688,0.16891294583881034,0.07042031092437415,0.11948934692636048
sindh_2021,climate,a_temp,2.357635367647412e-05,0.6459777975469279,1.1566870265751772e-05,1.9498030965436173e-09
sindh_2021,climate,a_rain,0.1580466999827903,0.528069157961283,0.7338005865465771,0.2675761334687798
sindh_2021,climate,pop_frac,0.0025689154595144106,0.0180370768073638,0.3134625348716172,0.0011970765300272606
sindh_2021,climate,i0_frac,0.07354632076168167,0.2419682719029246,0.02311487942639341,0.11474893161297607
sindh_2021,constant,beta_0,0.14199174901006176,0.0130910729038597,0.02315111569686391,0.18072217881972003
sindh_2021,constant,pop_frac,0.0012063049626783783,0.00023833683736866856,0.3995174779231289,0.0009028346534635625
sindh_2021,constant,i0_frac,0.06122434650505751,0.027808474003753747,0.024322550681149142,0.030801303151458084
kp_2021,climate,beta_0,0.16686840227441266,inf,0.03268292098113784,0.14574124639331168
kp_2021,climate,a_temp,9.357622968840175e-14,inf,0.19602610150925154,6.654376536148055e-13
kp_2021,climate,a_rain,-0.0662381266724504,inf,0.7003220119027715,-0.20001760415665787
kp_2021,climate,pop_frac,0.0012675462677329131,inf,0.4414244239930327,0.0016927029859907308
kp_2021,climate,i0_frac,0.02503001734869622,inf,0.011434385025303917,0.04841509380618545
kp_2021,constant,beta_0,0.1705533314888931,0.005476120112947983,5.691465955212519e-09,0.17011024595021898
kp_2021,constant,pop_frac,0.0012482395812186008,8.061755846169303e-05,5.992011921583599e-11,0.0012413344425960136
kp_2021,constant,i0_frac,0.018093447720636778,0.003633653719355132,4.268258194567816e-09,0.01862724493019495
