window,axis,value,model,R0,pop_at_risk_M,aic,a_temp,a_rain,nb_k,starts,note
national_2013,rho,0.02,climate,1.599,2.0182,635.9,0.215,-0.134,0.57,2/10,
national_2013,rho,0.02,constant,1.372,1.2288,667.7,,,0.33,7/10,
national_2013,rho,0.05,climate,1.599,0.8073,635.9,0.215,-0.134,0.57,3/4,
national_2013,rho,0.05,constant,1.372,0.4915,667.7,,,0.33,4/4,
national_2013,rho,0.1,climate,1.599,0.4036,635.9,0.215,-0.134,0.57,3/4,
national_2013,rho,0.1,constant,1.372,0.2458,667.7,,,0.33,3/4,
national_2013,rho,0.2,climate,1.599,0.2018,635.9,0.215,-0.134,0.57,3/4,
national_2013,rho,0.2,constant,1.372,0.1229,667.7,,,0.33,3/4,
sindh_2021,rho,0.02,climate,1.025,0.3076,212.0,0.0,0.158,2.96,8/10,
sindh_2021,rho,0.02,constant,1.42,0.1445,209.1,,,2.78,10/10,
sindh_2021,rho,0.05,climate,1.025,0.1231,212.0,0.0,0.158,2.96,4/4,
sindh_2021,rho,0.05,constant,1.42,0.0578,209.1,,,2.78,4/4,
sindh_2021,rho,0.1,climate,1.025,0.0615,212.0,0.0,0.158,2.96,4/4,
sindh_2021,rho,0.1,constant,1.42,0.0289,209.1,,,2.78,4/4,
sindh_2021,rho,0.2,climate,1.025,0.0308,212.0,0.0,0.158,2.96,4/4,
sindh_2021,rho,0.2,constant,1.42,0.0144,209.1,,,2.78,4/4,
kp_2021,rho,0.02,climate,1.669,0.1125,146.3,0.0,-0.066,28.09,1/10,
kp_2021,rho,0.02,constant,1.706,0.1108,143.0,,,26.64,10/10,
kp_2021,rho,0.05,climate,1.669,0.045,146.3,0.0,-0.066,28.09,1/4,
kp_2021,rho,0.05,constant,1.706,0.0443,143.0,,,26.64,3/4,
kp_2021,rho,0.1,climate,1.669,0.0225,146.3,0.0,-0.066,28.09,2/4,
kp_2021,rho,0.1,constant,1.706,0.0222,143.0,,,26.64,4/4,
kp_2021,rho,0.2,climate,1.669,0.0112,146.3,0.0,-0.066,28.09,2/4,
kp_2021,rho,0.2,constant,1.706,0.0111,143.0,,,26.64,4/4,
national_2013,rain_lag_weeks,3,climate,1.617,1.1481,639.2,0.281,-0.125,0.53,3/4,
national_2013,rain_lag_weeks,3,constant,1.372,0.4915,667.7,,,0.33,4/4,
national_2013,rain_lag_weeks,4,climate,1.614,0.907,637.3,0.245,-0.137,0.55,3/4,
national_2013,rain_lag_weeks,4,constant,1.372,0.4915,667.7,,,0.33,4/4,
national_2013,rain_lag_weeks,5,climate,1.599,0.8073,635.9,0.215,-0.134,0.57,3/4,
national_2013,rain_lag_weeks,5,constant,1.372,0.4915,667.7,,,0.33,4/4,
national_2013,rain_lag_weeks,6,climate,1.577,0.7766,635.1,0.194,-0.126,0.58,3/4,
national_2013,rain_lag_weeks,6,constant,1.372,0.4915,667.7,,,0.33,4/4,
national_2013,rain_lag_weeks,7,climate,1.554,0.7754,634.9,0.179,-0.119,0.59,3/4,
national_2013,rain_lag_weeks,7,constant,1.372,0.4915,667.7,,,0.33,4/4,
sindh_2021,rain_lag_weeks,3,climate,0.892,47.7913,209.5,0.0,0.233,3.39,4/4,
sindh_2021,rain_lag_weeks,3,constant,1.42,0.0578,209.1,,,2.78,4/4,
sindh_2021,rain_lag_weeks,4,climate,0.852,47.0464,210.4,0.0,0.211,3.23,4/4,
sindh_2021,rain_lag_weeks,4,constant,1.42,0.0578,209.1,,,2.78,4/4,
sindh_2021,rain_lag_weeks,5,climate,1.025,0.1231,212.0,0.0,0.158,2.96,4/4,
sindh_2021,rain_lag_weeks,5,constant,1.42,0.0578,209.1,,,2.78,4/4,
sindh_2021,rain_lag_weeks,6,climate,1.481,0.0564,213.1,0.03,-0.028,2.79,4/4,
sindh_2021,rain_lag_weeks,6,constant,1.42,0.0578,209.1,,,2.78,4/4,
sindh_2021,rain_lag_weeks,7,climate,1.685,0.0668,211.0,0.339,-0.167,3.1,3/4,
sindh_2021,rain_lag_weeks,7,constant,1.42,0.0578,209.1,,,2.78,4/4,
