window,model,parameter,point,boot_median,ci_lo,ci_hi,boot_sd,asympt_se,n_replicates
national_2013,climate,R0,1.5986901995224105,1.6070803682187793,1.4961630746307364,1.7143635292539716,0.05574698202570446,,200
national_2013,climate,pop_at_risk_M,0.8072854861763241,0.7786564083187439,0.4294936752555824,1.775030405312836,0.42431237028725005,,200
national_2013,climate,beta_0,0.15986901995224106,0.16070803682187793,0.14961630746307364,0.17143635292539716,0.005574698202570446,0.007489854224022789,200
national_2013,climate,a_temp,0.21460023467906633,0.21599653738710922,0.12318993272943626,0.33519727425915474,0.05467902834520906,0.05536022128446901,200
national_2013,climate,a_rain,-0.13438969731505,-0.13326193626767024,-0.19264184973885023,-0.06871847872239839,0.033297247324188435,0.042243943363503136,200
national_2013,climate,pop_frac,0.004294071734980447,0.004141789405950766,0.002284540825827566,0.009441651092089554,0.0022569806930172877,0.0014801759103190378,200
national_2013,climate,i0_frac,0.0008990566367544484,0.0009187375043818243,3.637519122238183e-05,0.007229118544793315,0.002072438540846449,0.001359355114966355,200
national_2013,constant,R0,1.371987677860975,1.3720871201699185,1.3175425307162862,1.440844130300771,0.03241221787123759,,200
national_2013,constant,pop_at_risk_M,0.4915198184091824,0.4831700908821017,0.24666669651127587,0.8150005483383572,0.14670974515351756,,200
national_2013,constant,beta_0,0.1371987677860975,0.13720871201699186,0.1317542530716286,0.1440844130300771,0.0032412217871237593,0.005986440210456927,200
national_2013,constant,pop_frac,0.002614467119197779,0.002570053674904796,0.0013120568963365736,0.004335109299672114,0.0007803709848591359,0.0014627098469802838,200
national_2013,constant,i0_frac,6.192805695376094e-06,6.093701242348561e-06,1.0029468879409923e-06,2.0951730784290157e-05,8.051133564941142e-06,1.0423916188834409e-05,200
sindh_2021,climate,R0,1.0250755983870687,1.0978859522764393,0.7789567110658119,2.4478932705278575,0.47306805842513955,,200
sindh_2021,climate,pop_at_risk_M,0.12305105051074026,0.344935129785675,0.04049543001735783,47.8785586338423,21.57426014039033,,200
sindh_2021,climate,beta_0,0.10250755983870688,0.10978859522764395,0.07789567110658119,0.24478932705278578,0.04730680584251396,0.16891294583881034,200
sindh_2021,climate,a_temp,2.357635367647412e-05,2.106424440945345e-05,9.357622968840175e-14,1.0727005121463984,0.27751687007357934,0.6459777975469279,200
sindh_2021,climate,a_rain,0.1580466999827903,0.10262808017087774,-0.287251311503313,0.3303803133100502,0.1636216250043666,0.528069157961283,200
sindh_2021,climate,pop_frac,0.0025689154595144106,0.007201150934982777,0.0008454160755189525,0.9995523723140354,0.45040209061357683,0.0180370768073638,200
sindh_2021,climate,i0_frac,0.07354632076168167,0.01102798445010839,8.368200212919519e-05,0.08759561711347248,0.028454935018777522,0.2419682719029246,200
sindh_2021,constant,R0,1.4199174901006175,1.4176440895784064,1.0871841714418709,1.6134284834259984,0.13495448733677512,,200
sindh_2021,constant,pop_at_risk_M,0.05778200771229432,0.060242228666707545,0.04098092114535715,0.1189674834387994,4.755833618122711,,200
sindh_2021,constant,beta_0,0.14199174901006176,0.14176440895784065,0.10871841714418708,0.16134284834259985,0.013495448733677511,0.0130910729038597,200
sindh_2021,constant,pop_frac,0.0012063049626783783,0.0012576665692423288,0.0008555515896734269,0.0024836635373444546,0.09928671436581862,0.00023833683736866856,200
sindh_2021,constant,i0_frac,0.06122434650505751,0.06166260077668772,0.02350732903369242,0.10735399273886335,0.022663813989994227,0.027808474003753747,200
kp_2021,climate,R0,1.6686840227441266,1.6699065783426899,1.4616593144609082,1.881820924344482,0.10443929355896982,,200
kp_2021,climate,pop_at_risk_M,0.04499789250451842,0.04707444554777851,0.0407670359229716,35.49696660686118,9.585337902107376,,200
kp_2021,climate,beta_0,0.16686840227441266,0.16699065783426897,0.14616593144609083,0.1881820924344482,0.010443929355896981,inf,200
kp_2021,climate,a_temp,9.357622968840175e-14,9.357622968840175e-14,9.357622968840175e-14,0.3624408242796944,0.1215739955840666,inf,200
kp_2021,climate,a_rain,-0.0662381266724504,-0.07205042279957263,-0.2876745414027037,0.0803535400413192,0.09457388539200674,inf,200
kp_2021,climate,pop_frac,0.0012675462677329131,0.0013260407196557327,0.0011483672090977918,0.9999145523059487,0.2700095183692219,inf,200
kp_2021,climate,i0_frac,0.02503001734869622,0.02184684054864358,4.881906244985703e-05,0.06030389173899083,0.01583403646909892,inf,200
kp_2021,constant,R0,1.705533314888931,1.7131192003744782,1.6138823353233556,1.803387196974568,0.0494113787386987,,200
kp_2021,constant,pop_at_risk_M,0.04431250513326033,0.04419966302176276,0.03955658151708168,0.04997913453267723,0.002580014720821517,,200
kp_2021,constant,beta_0,0.1705533314888931,0.17131192003744783,0.16138823353233556,0.1803387196974568,0.0049411378738698705,0.005476120112947983,200
kp_2021,constant,pop_frac,0.0012482395812186008,0.0012450609301905005,0.0011142699018896248,0.0014078629445824571,7.267647100905681e-05,8.061755846169303e-05,200
kp_2021,constant,i0_frac,0.018093447720636778,0.01769626962295054,0.011972377509648814,0.024914153842611957,0.0032064937209559225,0.003633653719355132,200
