config,R0,R0_rel_err,pop_frac,a_rain,physics_loss,loglik,seconds,notes
curriculum_seed0,2.3765,39.8,0.003335,0.534,143.7,-631.3,56.0,expanding window
curriculum_seed1,2.6262,54.5,0.810388,0.411,1.268,-887.9,55.8,expanding window
curriculum_seed2,1.8349,7.9,0.004769,1.127,148.7,-916.8,56.1,expanding window
curriculum_seed3,2.5361,49.2,0.011664,0.523,146.8,-770.1,55.9,expanding window
curriculum_seed4,2.5437,49.6,0.011556,0.514,143.0,-646.1,56.1,expanding window
curriculum_restart_seed0,0.9799,42.4,0.426405,0.995,1.668,-672.7,59.9,"expanding window, optimiser restarted"
curriculum_restart_seed1,1.3377,21.3,0.779858,0.827,0.07574,-694.0,60.3,"expanding window, optimiser restarted"
curriculum_restart_seed2,1.369,19.5,0.827553,0.801,0.775,-702.1,60.3,"expanding window, optimiser restarted"
curriculum_restart_seed3,1.5272,10.2,0.995555,0.716,0.5639,-247.9,59.8,"expanding window, optimiser restarted"
curriculum_restart_seed4,2.6792,57.6,0.640137,-0.128,1.399,-416.7,60.6,"expanding window, optimiser restarted"
