config,R0,R0_truth,R0_rel_err,pop_frac,pop_frac_truth,a_rain,physics_loss,loglik,seconds,notes,source,pop_frac_ratio,pop_frac_log_err
A_baseline,0.0191,1.7,98.9,0.130404,0.0025,0.468,28.73,-416.1,125.5,as in step 06,step 07,52.16159999999999,1.7173509044361668
B_dataweight_2000,0.9452,1.7,44.4,0.000485,0.0025,-0.222,60.79,-329.6,128.3,stronger data term,step 07,0.194,0.712198270069774
B_dataweight_20000,1.7024,1.7,0.1,0.000188,0.0025,0.235,82.64,-433.3,127.2,stronger data term,step 07,0.07519999999999999,1.123782159408358
B_dataweight_200000,0.1864,1.7,89.0,0.000564,0.0025,0.601,84.2,-217.8,126.6,stronger data term,step 07,0.22560000000000002,0.6466609046886953
C_dense_long,1.8854,1.7,10.9,0.98208,0.0025,0.022,13.29,-388.9,499.2,"denser grid, longer run",step 07,392.832,2.594206858079691
D_two_stage,0.0038,1.7,99.8,0.004612,0.0025,0.781,78.41,-428.8,132.9,15k epochs with parameters frozen,step 07,1.8447999999999998,0.2659492899506237
E_wide,1.5074,1.7,11.3,0.01304,0.0025,0.751,52.23,-396.0,287.2,more capacity,step 07,5.215999999999999,0.7173375827238637
F_seed1,1.5645,1.7,8.0,0.00138,0.0025,-0.946,78.61,-232.4,340.4,reproducibility of the best weighting,step 07,0.5519999999999999,0.25806092227080113
F_seed2,0.8481,1.7,50.1,0.001115,0.0025,-0.163,85.58,-224.5,135.8,reproducibility of the best weighting,step 07,0.446,0.35066514128785814
F_seed3,1.0011,1.7,41.1,0.002377,0.0025,0.242,99.07,-430.3,131.8,reproducibility of the best weighting,step 07,0.9508000000000001,0.0219108269438573
F_seed4,1.9532,1.7,14.9,0.000214,0.0025,0.15,69.51,-245.0,131.8,reproducibility of the best weighting,step 07,0.0856,1.0675262353228467
curriculum_seed0,2.3765,,39.8,0.003335,,0.534,143.7,-631.3,56.0,expanding window,step 10,1.3339999999999999,0.12515582958053012
curriculum_seed1,2.6262,,54.5,0.810388,,0.411,1.268,-887.9,55.8,expanding window,step 10,324.1552,2.510752992815961
curriculum_seed2,1.8349,,7.9,0.004769,,1.127,148.7,-916.8,56.1,expanding window,step 10,1.9076,0.2804873137618295
curriculum_seed3,2.5361,,49.2,0.011664,,0.523,146.8,-770.1,55.9,expanding window,step 10,4.6656,0.6689075023018618
curriculum_seed4,2.5437,,49.6,0.011556,,0.514,143.0,-646.1,56.1,expanding window,step 10,4.6224,0.6648675245001218
curriculum_restart_seed0,0.9799,,42.4,0.426405,,0.995,1.668,-672.7,59.9,"expanding window, optimiser restarted",step 10,170.56199999999998,2.2318822798879374
curriculum_restart_seed1,1.3377,,21.3,0.779858,,0.827,0.07574,-694.0,60.3,"expanding window, optimiser restarted",step 10,311.9432,2.4940755229535116
curriculum_restart_seed2,1.369,,19.5,0.827553,,0.801,0.775,-702.1,60.3,"expanding window, optimiser restarted",step 10,331.02119999999996,2.519855808724906
curriculum_restart_seed3,1.5272,,10.2,0.995555,,0.716,0.5639,-247.9,59.8,"expanding window, optimiser restarted",step 10,398.222,2.6001252491988636
curriculum_restart_seed4,2.6792,,57.6,0.640137,,-0.128,1.399,-416.7,60.6,"expanding window, optimiser restarted",step 10,256.0548,2.4083329215255174
