country,level,unit,start,end,weeks,cases,peak,peak_week,reason
ARGENTINA,national,ARGENTINA,2013-12-29,2014-08-31,36,2837,182,19,
ARGENTINA,national,ARGENTINA,2014-12-07,2015-07-19,33,2774,229,18,
ARGENTINA,national,ARGENTINA,2015-12-06,2016-07-10,32,77523,8685,13,
ARGENTINA,national,ARGENTINA,2018-12-02,2019-07-21,34,3185,300,22,
ARGENTINA,national,ARGENTINA,2019-12-22,2020-07-12,30,59295,5727,16,
BARBADOS,national,BARBADOS,2016-05-15,2017-01-15,36,880,65,17,
BARBADOS,national,BARBADOS,2020-08-23,2021-03-14,30,1550,139,13,
BARBADOS,national,BARBADOS,2023-08-13,2024-05-12,40,1792,204,28,
BELIZE,national,BELIZE,2014-04-13,2015-03-29,51,5017,272,27,
BELIZE,national,BELIZE,2016-11-27,2017-11-12,51,3198,151,11,
BELIZE,national,BELIZE,2019-04-28,2020-02-09,42,13154,790,16,
BELIZE,national,BELIZE,2020-06-07,2021-05-30,52,2341,128,38,
BOLIVIA,admin1,COCHABAMBA,2014-11-02,2015-08-23,43,556,42,13,
BOLIVIA,admin1,LA PAZ,2014-11-02,2015-07-26,39,866,64,24,
BOLIVIA,admin1,CHUQUISACA,2014-11-09,2015-08-23,42,994,68,24,
BOLIVIA,admin1,BENI,2014-11-23,2015-08-16,39,4318,258,19,
BOLIVIA,national,BOLIVIA,2015-01-11,2015-08-09,31,22341,2017,15,
BOLIVIA,admin1,SANTA CRUZ,2015-01-11,2015-08-02,30,35746,3512,15,
BOLIVIA,admin1,TARIJA,2015-01-25,2015-08-16,30,2764,344,14,
BOLIVIA,admin1,BENI,2015-08-30,2016-06-12,42,17064,1308,20,
BOLIVIA,admin1,PANDO,2015-10-04,2016-06-05,36,3252,276,9,
BOLIVIA,national,BOLIVIA,2015-11-08,2016-06-19,33,31990,2400,15,
BOLIVIA,admin1,CHUQUISACA,2015-11-08,2016-06-19,33,1072,112,15,
BOLIVIA,admin1,SANTA CRUZ,2015-11-22,2016-06-26,32,22836,1880,16,
BOLIVIA,admin1,PANDO,2016-08-28,2017-03-19,30,1666,198,12,
BOLIVIA,admin1,SANTA CRUZ,2016-11-06,2017-07-16,37,8078,576,19,
BOLIVIA,admin1,CHUQUISACA,2016-11-20,2017-07-16,35,386,38,21,
BOLIVIA,admin1,COCHABAMBA,2016-11-20,2017-06-18,31,444,42,17,
BOLIVIA,admin1,COCHABAMBA,2017-11-05,2018-07-29,39,588,38,26,
BOLIVIA,national,BOLIVIA,2017-11-12,2018-07-22,37,5389,326,17,
BOLIVIA,admin1,BENI,2017-11-19,2018-06-17,31,2498,242,15,
BOLIVIA,admin1,TARIJA,2017-11-26,2018-07-22,35,788,84,23,
BOLIVIA,admin1,SANTA CRUZ,2017-12-03,2018-07-22,34,5598,422,19,
BOLIVIA,admin1,CHUQUISACA,2017-12-17,2018-07-08,30,390,36,13,
BOLIVIA,admin1,BENI,2018-08-19,2019-07-07,47,4108,266,16,
BOLIVIA,admin1,COCHABAMBA,2018-09-16,2019-08-25,50,714,40,31,
BOLIVIA,admin1,PANDO,2018-12-02,2019-08-11,37,1996,160,18,
BOLIVIA,admin1,COCHABAMBA,2019-09-01,2020-07-19,47,11239,565,18,
BOLIVIA,admin1,LA PAZ,2019-09-08,2020-06-28,43,2293,134,23,
BOLIVIA,admin1,BENI,2019-10-13,2020-05-24,33,8136,643,15,
BOLIVIA,national,BOLIVIA,2019-11-10,2020-05-31,30,114144,10936,13,
BOLIVIA,admin1,CHUQUISACA,2019-11-10,2020-06-07,31,4325,436,13,
BOLIVIA,admin1,TARIJA,2019-12-01,2020-07-05,32,7491,700,16,
BOLIVIA,admin1,COCHABAMBA,2020-08-09,2021-07-11,49,507,28,24,
BOLIVIA,admin1,SANTA CRUZ,2020-08-16,2021-05-23,41,1618,103,17,
BOLIVIA,admin1,LA PAZ,2020-09-13,2021-07-11,44,1846,126,27,
BOLIVIA,admin1,BENI,2020-09-20,2021-07-18,44,2195,117,24,
BOLIVIA,admin1,PANDO,2021-08-01,2022-06-26,48,2018,119,20,
BOLIVIA,national,BOLIVIA,2021-09-05,2022-09-18,55,12871,528,27,
BOLIVIA,admin1,LA PAZ,2021-09-05,2022-07-03,44,1389,81,27,
BOLIVIA,admin1,BENI,2021-12-05,2022-07-03,31,2288,171,16,
BOLIVIA,admin1,COCHABAMBA,2021-12-12,2022-07-03,30,1362,130,13,
BOLIVIA,national,BOLIVIA,2022-11-06,2023-06-25,34,154838,12300,14,
BOLIVIA,national,BOLIVIA,2023-10-15,2024-07-28,42,50079,2800,10,
BRAZIL,national,BRAZIL,2013-12-29,2014-08-10,33,507151,37414,16,
