country,unit,level,window_start,weeks,cases,observation,temp_form,rain_lag,train_frac,delta_aic,climate_wins,heldout_delta,R0_climate,R0_constant,a_temp,a_rain
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,nb,briere,3,1.0,-0.874,True,,1.0391,1.1683,0.0184,0.0231
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,nb,briere,3,0.75,0.079,False,-1.466,1.0506,1.1557,0.0209,0.0135
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,nb,briere,5,1.0,-0.747,True,,1.055,1.1683,0.0205,0.0036
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,nb,briere,5,0.75,0.074,False,-1.277,1.0529,1.1557,0.0213,0.0129
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,nb,briere,7,1.0,-0.743,True,,1.0575,1.1683,0.0208,-0.0
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,nb,briere,7,0.75,0.082,False,-1.218,1.0557,1.1557,0.0219,0.0104
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,nb,loglinear,3,1.0,1.577,False,,0.9421,1.1683,0.0715,0.0652
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,nb,loglinear,3,0.75,2.619,False,6.961,0.9689,1.1557,0.068,0.0544
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,nb,loglinear,5,1.0,1.734,False,,0.9478,1.1683,0.0888,0.0504
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,nb,loglinear,5,0.75,2.301,False,7.222,0.9707,1.1557,0.0843,0.0566
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,nb,loglinear,7,1.0,2.078,False,,0.9501,1.1683,0.1001,0.0379
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,nb,loglinear,7,0.75,1.938,False,66.196,1.6079,1.1557,-0.3229,0.0032
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,poisson,briere,3,1.0,-105.542,True,,1.1158,1.2055,0.0289,-0.0331
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,poisson,briere,3,0.75,-99.773,True,2.631,1.1275,1.1979,0.0327,-0.0389
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,poisson,briere,5,1.0,-110.205,True,,1.1171,1.2055,0.0287,-0.0378
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,poisson,briere,5,0.75,-100.595,True,-4.964,1.1199,1.1979,0.0309,-0.0344
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,poisson,briere,7,1.0,-102.026,True,,1.0963,1.2055,0.0259,-0.0137
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,poisson,briere,7,0.75,-92.98,True,-3.648,1.0982,1.1979,0.0282,-0.0085
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,poisson,loglinear,3,1.0,-20.96,True,,0.972,1.2055,0.1309,0.0045
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,poisson,loglinear,3,0.75,-31.723,True,264.967,1.6279,1.1979,-0.2875,-0.0478
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,poisson,loglinear,5,1.0,-23.04,True,,0.9687,1.2055,0.1266,0.015
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,poisson,loglinear,5,0.75,-14.77,True,271.24,1.0069,1.1979,0.1158,0.0137
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,poisson,loglinear,7,1.0,-31.546,True,,0.9634,1.2055,0.1274,0.029
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,poisson,loglinear,7,0.75,-23.928,True,211.566,0.9981,1.1979,0.1235,0.0325
ARGENTINA,ARGENTINA,national,2014-12-07,33,2774,nb,briere,3,1.0,2.694,False,,1.3864,1.3275,0.0,-0.115
ARGENTINA,ARGENTINA,national,2014-12-07,33,2774,nb,briere,3,0.75,2.893,False,229.555,1.3552,1.2533,0.2332,-0.0008
ARGENTINA,ARGENTINA,national,2014-12-07,33,2774,nb,briere,5,1.0,0.741,False,,1.4164,1.3275,0.0,-0.1753
ARGENTINA,ARGENTINA,national,2014-12-07,33,2774,nb,briere,5,0.75,0.82,False,712.128,1.9881,1.2533,0.7038,-0.3442
