country,unit,window_start,wins,n,weeks,cases,unstable,always_climate,never_climate
ARGENTINA,ARGENTINA,2013-12-29,112,144,36,2837.0,True,False,False
ARGENTINA,ARGENTINA,2014-12-07,87,144,33,2774.0,True,False,False
ARGENTINA,ARGENTINA,2015-12-06,87,144,32,77523.0,True,False,False
ARGENTINA,ARGENTINA,2018-12-02,128,144,34,3185.0,True,False,False
ARGENTINA,ARGENTINA,2019-12-22,97,144,30,59295.0,True,False,False
BARBADOS,BARBADOS,2016-05-15,140,144,36,880.0,True,False,False
BARBADOS,BARBADOS,2020-08-23,77,144,30,1550.0,True,False,False
BARBADOS,BARBADOS,2023-08-13,71,144,40,1792.0,True,False,False
BELIZE,BELIZE,2014-04-13,144,144,51,5017.0,False,True,False
BELIZE,BELIZE,2016-11-27,144,144,51,3198.0,False,True,False
BELIZE,BELIZE,2019-04-28,93,144,42,13154.0,True,False,False
BELIZE,BELIZE,2020-06-07,84,144,52,2341.0,True,False,False
BOLIVIA,BENI,2014-11-23,135,144,39,4318.0,True,False,False
BOLIVIA,BENI,2015-08-30,140,144,42,17064.0,True,False,False
BOLIVIA,BENI,2017-11-19,144,144,31,2498.0,False,True,False
BOLIVIA,BENI,2018-08-19,143,144,47,4108.0,True,False,False
BOLIVIA,BENI,2019-10-13,144,144,33,8136.0,False,True,False
BOLIVIA,BENI,2020-09-20,30,144,44,2195.0,True,False,False
BOLIVIA,BENI,2021-12-05,119,144,31,2288.0,True,False,False
BOLIVIA,BOLIVIA,2015-01-11,144,144,31,22341.0,False,True,False
BOLIVIA,BOLIVIA,2015-11-08,132,144,33,31990.0,True,False,False
BOLIVIA,BOLIVIA,2017-11-12,142,144,37,5389.0,True,False,False
BOLIVIA,BOLIVIA,2019-11-10,130,144,30,114144.0,True,False,False
BOLIVIA,BOLIVIA,2021-09-05,116,144,55,12871.0,True,False,False
BOLIVIA,BOLIVIA,2022-11-06,103,144,34,154838.0,True,False,False
BOLIVIA,BOLIVIA,2023-10-15,113,144,42,50079.0,True,False,False
BOLIVIA,CHUQUISACA,2014-11-09,113,144,42,994.0,True,False,False
BOLIVIA,CHUQUISACA,2015-11-08,89,144,33,1072.0,True,False,False
BOLIVIA,CHUQUISACA,2016-11-20,144,144,35,386.0,False,True,False
BOLIVIA,CHUQUISACA,2017-12-17,95,144,30,390.0,True,False,False
BOLIVIA,CHUQUISACA,2019-11-10,128,144,31,4325.0,True,False,False
BOLIVIA,COCHABAMBA,2014-11-02,129,144,43,556.0,True,False,False
BOLIVIA,COCHABAMBA,2016-11-20,88,144,31,444.0,True,False,False
BOLIVIA,COCHABAMBA,2017-11-05,105,144,39,588.0,True,False,False
BOLIVIA,COCHABAMBA,2018-09-16,73,144,50,714.0,True,False,False
BOLIVIA,COCHABAMBA,2019-09-01,139,144,47,11239.0,True,False,False
BOLIVIA,COCHABAMBA,2020-08-09,80,144,49,507.0,True,False,False
BOLIVIA,COCHABAMBA,2021-12-12,128,144,30,1362.0,True,False,False
BOLIVIA,LA PAZ,2014-11-02,48,144,39,866.0,True,False,False
BOLIVIA,LA PAZ,2019-09-08,44,144,43,2293.0,True,False,False
BOLIVIA,LA PAZ,2020-09-13,40,144,44,1846.0,True,False,False
BOLIVIA,LA PAZ,2021-09-05,21,144,44,1389.0,True,False,False
BOLIVIA,PANDO,2016-08-28,102,144,30,1666.0,True,False,False
BOLIVIA,PANDO,2018-12-02,138,144,37,1996.0,True,False,False
BOLIVIA,PANDO,2021-08-01,87,144,48,2018.0,True,False,False
BOLIVIA,SANTA CRUZ,2015-01-11,144,144,30,35746.0,False,True,False
BOLIVIA,SANTA CRUZ,2015-11-22,144,144,32,22836.0,False,True,False
BOLIVIA,SANTA CRUZ,2016-11-06,138,144,37,8078.0,True,False,False
BOLIVIA,SANTA CRUZ,2017-12-03,139,144,34,5598.0,True,False,False
BOLIVIA,SANTA CRUZ,2020-08-16,137,144,41,1618.0,True,False,False
BOLIVIA,TARIJA,2015-01-25,132,144,30,2764.0,True,False,False
BOLIVIA,TARIJA,2017-11-26,100,144,35,788.0,True,False,False
BOLIVIA,TARIJA,2019-12-01,134,144,32,7491.0,True,False,False
BRAZIL,BRAZIL,2013-12-29,130,144,33,507151.0,True,False,False
BRAZIL,BRAZIL,2014-11-30,129,144,36,1485001.0,True,False,False
BRAZIL,BRAZIL,2016-08-07,142,144,57,550392.0,True,False,False
BRAZIL,BRAZIL,2018-12-02,129,144,38,2091193.0,True,False,False
BRAZIL,BRAZIL,2019-11-10,130,144,40,1432127.0,True,False,False
BRAZIL,BRAZIL,2020-11-15,136,144,44,890898.0,True,False,False
CAMBODIA,CAMBODIA,2012-03-18,96,144,40,41093.0,True,False,False
CAMBODIA,CAMBODIA,2013-03-17,110,144,35,15736.0,True,False,False
COLOMBIA,ARAUCA,2002-03-03,106,144,31,1846.0,True,False,False
COLOMBIA,ARAUCA,2002-11-10,135,144,45,1041.0,True,False,False
