rule,margin,unstable_pct,ci_lo,ci_hi,answers_pct
|dAIC| > 0,0.0,91.9,87.8,95.5,100.0
|dAIC| > 2,2.0,89.6,85.5,93.2,100.0
|dAIC| > 4,4.0,39.8,33.0,45.2,100.0
|dAIC| > 6,6.0,37.3,30.8,42.9,99.5
|dAIC| > 10,10.0,37.0,31.6,43.6,97.7
|dAIC| > 15,15.0,36.6,30.5,42.7,96.4
|dAIC| > 20,20.0,34.9,28.8,41.3,95.9
|dAIC| > 30,30.0,34.0,28.0,39.7,93.2
|dAIC| > 50,50.0,29.6,23.4,35.4,88.7
negative binomial only,0.0,79.6,74.7,84.6,100.0
"negative binomial, |dAIC| > 10",10.0,20.0,14.0,25.2,74.7
all 144 combinations must agree,0.0,0.0,0.0,0.0,8.1
"all 144 agree, |dAIC| > 10",10.0,0.0,0.0,0.0,0.5
