margin_needed,spread,n_dissent,n_dissent_at_4,n_speaking_at_4
3.75,2992.768,32,0,94
4.0,150.696,57,0,72
4.0,14813.292,57,0,81
21.25,241.54,16,1,88
60.25,2119.608,47,1,94
1.25,66.888,4,0,135
37.25,5282.5019999999995,67,2,60
4.0,55.758,71,0,62
0.0,244.84199999999998,0,0,144
0.0,168.18800000000002,0,0,134
4.0,84.473,51,0,62
4.0,93.14699999999999,60,0,69
60.25,46753.991,9,3,121
2.25,886.916,4,0,132
0.0,173.63899999999998,0,0,144
60.25,2770.56,1,1,144
0.0,200.45000000000002,0,0,142
4.0,10.054,30,0,2
4.0,144.994,25,0,112
0.0,304.681,0,0,144
3.25,749.3299999999999,12,0,132
60.25,31540.469,2,2,140
3.75,1869.9920000000002,14,0,121
60.25,505966.907,28,6,96
4.0,2472.282,41,0,84
5.25,2856.2340000000004,31,4,103
60.25,10018.331999999999,31,3,104
4.0,191.491,55,0,74
0.0,99.953,0,0,144
60.25,1657.863,49,3,84
3.5,225.341,16,0,116
0.75,170.749,15,0,93
4.0,58.980000000000004,56,0,63
60.25,24875.713,39,4,96
4.0,656.509,71,0,53
60.25,2212.272,5,1,138
4.0,122.09,64,0,55
3.75,216.182,16,0,101
60.25,39662.47900000001,48,40,90
60.25,109642.709,44,44,97
60.25,87604.694,40,40,104
50.0,64843.969,21,16,66
51.75,21586.146,42,9,89
60.25,1027.4850000000001,6,2,109
4.0,63.238,57,0,63
0.0,150.767,0,0,132
0.0,581.0999999999999,0,0,125
4.0,1038.644,6,0,128
60.25,60191.107,5,5,144
1.25,121.67699999999999,7,0,118
3.75,467.04,12,0,117
4.0,104.756,44,0,91
4.0,331.01800000000003,10,0,122
4.0,145249.576,14,0,126
60.25,884081.787,15,5,128
13.25,421749.958,2,1,143
60.25,1682784.094,15,3,127
5.25,1405317.5869999998,14,5,132
4.25,738950.093,8,1,135
4.0,448.074,48,0,83
4.0,905.426,34,0,92
3.25,84.289,38,0,70
60.25,47920.479999999996,9,9,103
60.25,5497.489,12,12,144
5.75,32260.33,8,1,127
4.0,184796.304,3,0,132
4.0,81.982,66,0,64
4.0,82.351,58,0,49
0.0,448.207,0,0,130
3.5,56.162,43,0,65
60.25,3856.7619999999997,21,4,107
4.0,152.82999999999998,34,0,103
3.75,368.326,8,0,120
4.0,341.513,30,0,84
1.0,47.648999999999994,4,0,109
60.25,325503.78900000005,1,1,144
30.5,70972.26,44,8,38
3.25,628.88,15,0,108
0.0,75.495,0,0,108
60.25,216629.099,2,2,144
21.25,1914.61,56,12,78
60.25,388.932,1,1,124
4.0,79.71600000000001,64,0,64
4.0,28.479,54,0,48
3.5,546.5310000000001,36,0,72
4.0,2581.0629999999996,22,0,106
19.25,3288.156,63,1,29
60.25,722674.178,21,7,120
2.25,258.194,16,0,104
0.0,233.716,0,0,144
4.0,38.293,61,0,50
3.25,24.201999999999998,35,0,76
4.0,391.08099999999996,72,0,72
60.25,311.172,23,1,108
4.0,848.79,57,0,64
6.75,182.011,48,1,73
4.0,914.7239999999999,44,0,79
2.75,3235.475,12,0,94
3.75,2189.636,42,0,93
4.0,426.59099999999995,68,0,67
60.25,70432.62599999999,59,3,72
4.0,8499.013,37,0,101
4.0,874.2280000000001,19,0,117
60.25,4882.516,15,3,104
60.25,17934.074,67,1,76
4.0,340.687,72,0,72
13.5,1203.3999999999999,31,1,109
4.0,366.021,35,0,88
54.0,15318.486,55,1,49
3.5,27.426,32,0,50
3.5,1644.143,4,0,139
60.25,30276.496,24,1,104
60.25,12647.619,33,6,85
4.0,36.361,71,0,41
3.0,37.285,48,0,72
6.5,67.547,56,1,42
60.25,206.373,35,1,71
60.25,5734.725,65,2,59
60.25,281.563,66,1,71
4.0,89.225,68,0,69
60.25,143798.327,3,3,130
60.25,87538.49399999999,3,3,144
60.25,58050.935,4,2,123
0.0,29938.768,0,0,136
4.0,99086.254,24,0,102
19.0,98458.90800000001,1,1,131
60.25,53381.832,53,5,96
60.25,294908.081,21,3,119
4.0,36.35,59,0,27
4.0,1006.268,37,0,90
4.0,127.332,67,0,52
3.25,74.40700000000001,62,0,67
4.0,139.773,66,0,62
60.25,9288.551,61,1,55
4.0,135.675,48,0,73
4.0,17.976,56,0,30
4.0,335.503,71,0,72
3.25,1279.693,21,0,97
4.0,174.456,68,0,57
3.75,976.922,48,0,72
4.0,172.161,21,0,106
4.0,15.907,47,0,26
2.75,256.531,8,0,130
60.25,24673.409000000003,10,10,144
0.0,139.965,0,0,131
32.0,11332.807999999999,34,1,85
4.0,98.65,56,0,75
4.0,28.972,42,0,60
0.0,56.909,0,0,127
60.25,658.723,25,1,112
0.0,33.424,0,0,128
3.0,208.84300000000002,44,0,97
38.75,16215.821,59,4,74
0.0,75.62,0,0,140
4.0,179.782,42,0,76
60.25,4609.148999999999,51,1,75
60.25,35055.455,22,1,113
39.25,103111.03,70,17,66
4.0,72.393,53,0,45
3.0,46.6,13,0,111
4.0,18.16,39,0,18
31.0,37498.990000000005,53,6,34
4.0,1306.533,49,0,76
5.75,614.654,70,2,74
4.0,5784.286999999999,29,0,95
16.0,1196.6049999999998,66,1,70
60.25,23620.78,10,3,123
1.5,30.973,8,0,93
4.0,50.009,71,0,48
32.25,8100.822,33,14,86
60.25,6975.611,45,5,76
4.0,78.893,54,0,87
2.75,155.888,16,0,114
4.0,323.497,68,0,72
4.0,951.6990000000001,22,0,105
3.5,644.6189999999999,19,0,96
4.0,1851.344,10,0,132
4.0,23710.138,20,0,100
4.0,66.045,19,0,105
42.0,85.706,48,1,64
60.25,2362.907,39,3,97
4.0,570.272,22,0,98
36.5,22283.419,44,42,94
4.0,326.699,40,0,96
24.5,52.346000000000004,68,9,61
4.0,170.924,53,0,74
60.25,310.308,70,2,69
4.0,5076.923,24,0,100
4.0,11105.052,30,0,106
2.75,3774.817,4,0,134
55.25,24361.98,55,5,69
4.0,8.002,29,0,1
31.75,7281.818,68,5,69
3.5,11.306000000000001,24,0,42
4.25,79533.41500000001,41,1,104
4.0,13.003,46,0,20
17.0,7027.081999999999,50,7,42
2.75,37.908,16,0,82
3.5,88.614,56,0,72
0.0,804.438,0,0,144
60.25,112169.617,11,11,144
3.5,472.526,28,0,100
60.25,169251.218,17,3,115
4.0,94.506,49,0,81
43.5,4716.9400000000005,1,1,139
4.0,21.786,57,0,49
4.0,10.904,31,0,6
4.0,71.713,72,0,72
24.75,6055.01,37,5,28
60.25,17698.741,46,1,66
60.25,2627.245,46,2,89
0.0,486.151,0,0,144
60.25,108308.975,26,4,108
60.25,234842.423,5,5,144
4.0,4618.199,35,0,105
4.0,904.0640000000001,37,0,94
60.25,17401.023,16,8,135
4.0,1468.119,32,0,108
60.25,1818.924,10,1,125
3.75,1576.793,23,0,99
60.25,59169.971000000005,2,2,144
