country,unit,level,window_start,weeks,cases,observation,temp_form,rain_lag,train_frac,structure,delta_aic,climate_wins,heldout_delta,R0_climate,R0_constant,a_temp,a_rain
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,nb,briere,3,1.0,hostvector,-0.874,True,,1.0391,1.1683,0.0184,0.0231
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,nb,briere,3,1.0,seir,0.372,False,,1.1011,1.1881,0.0255,-0.021
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,nb,briere,3,0.75,hostvector,0.079,False,-1.466,1.0506,1.1557,0.0209,0.0135
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,nb,briere,3,0.75,seir,1.09,False,-0.136,1.1153,1.2028,0.0289,-0.0308
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,nb,briere,5,1.0,hostvector,-0.747,True,,1.055,1.1683,0.0205,0.0036
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,nb,briere,5,1.0,seir,-0.29,True,,1.1188,1.1881,0.0276,-0.0512
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,nb,briere,5,0.75,hostvector,0.074,False,-1.277,1.0529,1.1557,0.0213,0.0129
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,nb,briere,5,0.75,seir,0.806,False,-0.886,1.1184,1.2028,0.0287,-0.0431
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,nb,briere,7,1.0,hostvector,-0.743,True,,1.0575,1.1683,0.0208,-0.0
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,nb,briere,7,1.0,seir,0.129,False,,1.1009,1.1881,0.025,-0.0289
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,nb,briere,7,0.75,hostvector,0.082,False,-1.218,1.0557,1.1557,0.0219,0.0104
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,nb,briere,7,0.75,seir,1.156,False,-0.729,1.1017,1.2028,0.0265,-0.0208
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,nb,loglinear,3,1.0,hostvector,1.577,False,,0.9421,1.1683,0.0715,0.0652
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,nb,loglinear,3,1.0,seir,2.304,False,,0.968,1.1881,0.1198,0.0176
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,nb,loglinear,3,0.75,hostvector,2.619,False,6.961,0.9689,1.1557,0.068,0.0544
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,nb,loglinear,3,0.75,seir,3.319,False,14.834,1.0055,1.2028,0.1207,0.0107
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,nb,loglinear,5,1.0,hostvector,1.734,False,,0.9478,1.1683,0.0888,0.0504
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,nb,loglinear,5,1.0,seir,2.358,False,,0.97,1.1881,0.1253,0.0101
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,nb,loglinear,5,0.75,hostvector,2.301,False,7.222,0.9707,1.1557,0.0843,0.0566
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,nb,loglinear,5,0.75,seir,3.239,False,13.673,1.003,1.2028,0.1229,0.0183
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,nb,loglinear,7,1.0,hostvector,2.078,False,,0.9501,1.1683,0.1001,0.0379
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,nb,loglinear,7,1.0,seir,2.274,False,,0.9685,1.1881,0.1255,0.0159
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,nb,loglinear,7,0.75,hostvector,1.938,False,66.196,1.6079,1.1557,-0.3229,0.0032
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,nb,loglinear,7,0.75,seir,2.961,False,11.831,0.9974,1.2028,0.1296,0.0329
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,poisson,briere,3,1.0,hostvector,-105.542,True,,1.1158,1.2055,0.0289,-0.0331
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,poisson,briere,3,1.0,seir,-95.835,True,,1.1318,1.2058,0.0303,-0.0453
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,poisson,briere,3,0.75,hostvector,-99.773,True,2.631,1.1275,1.1979,0.0327,-0.0389
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,poisson,briere,3,0.75,seir,-93.726,True,18.514,1.1452,1.2048,0.035,-0.0507
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,poisson,briere,5,1.0,hostvector,-110.205,True,,1.1171,1.2055,0.0287,-0.0378
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,poisson,briere,5,1.0,seir,-104.951,True,,1.1336,1.2058,0.03,-0.0519
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,poisson,briere,5,0.75,hostvector,-100.595,True,-4.964,1.1199,1.1979,0.0309,-0.0344
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,poisson,briere,5,0.75,seir,-97.118,True,5.467,1.1376,1.2048,0.0329,-0.0477
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,poisson,briere,7,1.0,hostvector,-102.026,True,,1.0963,1.2055,0.0259,-0.0137
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,poisson,briere,7,1.0,seir,-90.548,True,,1.1081,1.2058,0.0266,-0.0214
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,poisson,briere,7,0.75,hostvector,-92.98,True,-3.648,1.0982,1.1979,0.0282,-0.0085
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,poisson,briere,7,0.75,seir,-83.382,True,6.846,1.1109,1.2048,0.0296,-0.0149
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,poisson,loglinear,3,1.0,hostvector,-20.96,True,,0.972,1.2055,0.1309,0.0045
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,poisson,loglinear,3,1.0,seir,-23.296,True,,0.9777,1.2058,0.1407,-0.0054
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,poisson,loglinear,3,0.75,hostvector,-31.723,True,264.967,1.6279,1.1979,-0.2875,-0.0478
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,poisson,loglinear,3,0.75,seir,-14.624,True,330.698,1.0216,1.2048,0.1334,-0.0096
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,poisson,loglinear,5,1.0,hostvector,-23.04,True,,0.9687,1.2055,0.1266,0.015
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,poisson,loglinear,5,1.0,seir,-23.491,True,,0.9746,1.2058,0.1346,0.0061
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,poisson,loglinear,5,0.75,hostvector,-14.77,True,271.24,1.0069,1.1979,0.1158,0.0137
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,poisson,loglinear,5,0.75,seir,-14.431,True,271.558,1.0142,1.2048,0.1266,0.0062
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,poisson,loglinear,7,1.0,hostvector,-31.546,True,,0.9634,1.2055,0.1274,0.029
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,poisson,loglinear,7,1.0,seir,-31.402,True,,0.9679,1.2058,0.1322,0.0258
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,poisson,loglinear,7,0.75,hostvector,-23.928,True,211.566,0.9981,1.1979,0.1235,0.0325
ARGENTINA,ARGENTINA,national,2013-12-29,36,2837,poisson,loglinear,7,0.75,seir,-24.356,True,187.618,1.002,1.2048,0.1331,0.0325
ARGENTINA,ARGENTINA,national,2014-12-07,33,2774,nb,briere,3,1.0,hostvector,2.694,False,,1.3864,1.3275,0.0,-0.115
ARGENTINA,ARGENTINA,national,2014-12-07,33,2774,nb,briere,3,1.0,seir,2.872,False,,1.4247,1.3505,0.0,-0.1141
ARGENTINA,ARGENTINA,national,2014-12-07,33,2774,nb,briere,3,0.75,hostvector,2.893,False,229.555,1.3552,1.2533,0.2332,-0.0008
ARGENTINA,ARGENTINA,national,2014-12-07,33,2774,nb,briere,3,0.75,seir,2.764,False,523.236,1.5473,1.2903,0.3787,-0.0633
ARGENTINA,ARGENTINA,national,2014-12-07,33,2774,nb,briere,5,1.0,hostvector,0.741,False,,1.4164,1.3275,0.0,-0.1753
ARGENTINA,ARGENTINA,national,2014-12-07,33,2774,nb,briere,5,1.0,seir,1.882,False,,1.4616,1.3505,0.0,-0.1642
ARGENTINA,ARGENTINA,national,2014-12-07,33,2774,nb,briere,5,0.75,hostvector,0.82,False,712.128,1.9881,1.2533,0.7038,-0.3442
ARGENTINA,ARGENTINA,national,2014-12-07,33,2774,nb,briere,5,0.75,seir,0.994,False,768.062,2.1992,1.2903,0.7993,-0.3513
ARGENTINA,ARGENTINA,national,2014-12-07,33,2774,nb,briere,7,1.0,hostvector,0.441,False,,1.4449,1.3275,0.0,-0.148
ARGENTINA,ARGENTINA,national,2014-12-07,33,2774,nb,briere,7,1.0,seir,2.33,False,,1.4851,1.3505,0.0,-0.1348
ARGENTINA,ARGENTINA,national,2014-12-07,33,2774,nb,briere,7,0.75,hostvector,-0.147,True,27.65,1.6173,1.2533,0.0,-0.315
ARGENTINA,ARGENTINA,national,2014-12-07,33,2774,nb,briere,7,0.75,seir,1.636,False,597.88,1.811,1.2903,0.537,-0.1593
ARGENTINA,ARGENTINA,national,2014-12-07,33,2774,nb,loglinear,3,1.0,hostvector,2.228,False,,0.9758,1.3275,0.2381,-0.0227
ARGENTINA,ARGENTINA,national,2014-12-07,33,2774,nb,loglinear,3,1.0,seir,2.832,False,,1.1765,1.3505,0.1468,-0.0829
ARGENTINA,ARGENTINA,national,2014-12-07,33,2774,nb,loglinear,3,0.75,hostvector,3.218,False,26.929,1.1071,1.2533,0.1075,0.0067
ARGENTINA,ARGENTINA,national,2014-12-07,33,2774,nb,loglinear,3,0.75,seir,2.955,False,42.25,1.1101,1.2903,0.2173,-0.1007
ARGENTINA,ARGENTINA,national,2014-12-07,33,2774,nb,loglinear,5,1.0,hostvector,0.689,False,,1.3502,1.3275,0.0595,-0.199
ARGENTINA,ARGENTINA,national,2014-12-07,33,2774,nb,loglinear,5,1.0,seir,1.881,False,,1.4777,1.3505,-0.0106,-0.1633
ARGENTINA,ARGENTINA,national,2014-12-07,33,2774,nb,loglinear,5,0.75,hostvector,0.835,False,42.438,1.5867,1.2533,-0.0199,-0.3599
ARGENTINA,ARGENTINA,national,2014-12-07,33,2774,nb,loglinear,5,0.75,seir,1.21,False,77.347,1.096,1.2903,0.4165,-0.3892
ARGENTINA,ARGENTINA,national,2014-12-07,33,2774,nb,loglinear,7,1.0,hostvector,0.408,False,,1.399,1.3275,0.0425,-0.1615
ARGENTINA,ARGENTINA,national,2014-12-07,33,2774,nb,loglinear,7,1.0,seir,2.257,False,,1.6742,1.3505,-0.1183,-0.1297
ARGENTINA,ARGENTINA,national,2014-12-07,33,2774,nb,loglinear,7,0.75,hostvector,-0.551,True,24.733,1.6619,1.2533,-0.0941,-0.2626
ARGENTINA,ARGENTINA,national,2014-12-07,33,2774,nb,loglinear,7,0.75,seir,1.388,False,9.332,1.9286,1.2903,-0.2306,-0.2433
ARGENTINA,ARGENTINA,national,2014-12-07,33,2774,poisson,briere,3,1.0,hostvector,-44.879,True,,1.4274,1.3937,0.0,-0.1036
ARGENTINA,ARGENTINA,national,2014-12-07,33,2774,poisson,briere,3,1.0,seir,-41.964,True,,1.4673,1.4092,0.0,-0.1137
ARGENTINA,ARGENTINA,national,2014-12-07,33,2774,poisson,briere,3,0.75,hostvector,-10.436,True,713.912,1.5179,1.3506,0.3492,-0.0389
ARGENTINA,ARGENTINA,national,2014-12-07,33,2774,poisson,briere,3,0.75,seir,-18.194,True,695.536,1.5686,1.3662,0.2663,-0.0859
ARGENTINA,ARGENTINA,national,2014-12-07,33,2774,poisson,briere,5,1.0,hostvector,-64.159,True,,1.456,1.3937,0.0,-0.1519
ARGENTINA,ARGENTINA,national,2014-12-07,33,2774,poisson,briere,5,1.0,seir,-51.48,True,,1.5123,1.4092,0.0,-0.1658
ARGENTINA,ARGENTINA,national,2014-12-07,33,2774,poisson,briere,5,0.75,hostvector,-60.669,True,28.213,1.537,1.3506,0.0,-0.2634
