country,unit,window_start,truth,observation,temp_form,rain_lag,train_frac,structure,delta_aic,climate_wins,climate_wins_margin4
ARGENTINA,ARGENTINA,2013-12-29,no_effect,nb,briere,3,1.0,hostvector,3.334,False,False
ARGENTINA,ARGENTINA,2013-12-29,no_effect,nb,briere,3,1.0,seir,3.886,False,False
ARGENTINA,ARGENTINA,2013-12-29,no_effect,nb,briere,3,0.75,hostvector,3.057,False,False
ARGENTINA,ARGENTINA,2013-12-29,no_effect,nb,briere,3,0.75,seir,3.763,False,False
ARGENTINA,ARGENTINA,2013-12-29,no_effect,nb,briere,5,1.0,hostvector,3.947,False,False
ARGENTINA,ARGENTINA,2013-12-29,no_effect,nb,briere,5,1.0,seir,3.697,False,False
ARGENTINA,ARGENTINA,2013-12-29,no_effect,nb,briere,5,0.75,hostvector,3.542,False,False
ARGENTINA,ARGENTINA,2013-12-29,no_effect,nb,briere,5,0.75,seir,3.438,False,False
ARGENTINA,ARGENTINA,2013-12-29,no_effect,nb,briere,7,1.0,hostvector,2.819,False,False
ARGENTINA,ARGENTINA,2013-12-29,no_effect,nb,briere,7,1.0,seir,2.36,False,False
ARGENTINA,ARGENTINA,2013-12-29,no_effect,nb,briere,7,0.75,hostvector,1.601,False,False
ARGENTINA,ARGENTINA,2013-12-29,no_effect,nb,briere,7,0.75,seir,1.19,False,False
ARGENTINA,ARGENTINA,2013-12-29,no_effect,nb,loglinear,3,1.0,hostvector,3.241,False,False
ARGENTINA,ARGENTINA,2013-12-29,no_effect,nb,loglinear,3,1.0,seir,3.875,False,False
ARGENTINA,ARGENTINA,2013-12-29,no_effect,nb,loglinear,3,0.75,hostvector,3.13,False,False
ARGENTINA,ARGENTINA,2013-12-29,no_effect,nb,loglinear,3,0.75,seir,3.779,False,False
ARGENTINA,ARGENTINA,2013-12-29,no_effect,nb,loglinear,5,1.0,hostvector,3.983,False,False
ARGENTINA,ARGENTINA,2013-12-29,no_effect,nb,loglinear,5,1.0,seir,3.782,False,False
ARGENTINA,ARGENTINA,2013-12-29,no_effect,nb,loglinear,5,0.75,hostvector,3.954,False,False
ARGENTINA,ARGENTINA,2013-12-29,no_effect,nb,loglinear,5,0.75,seir,3.843,False,False
ARGENTINA,ARGENTINA,2013-12-29,no_effect,nb,loglinear,7,1.0,hostvector,3.228,False,False
ARGENTINA,ARGENTINA,2013-12-29,no_effect,nb,loglinear,7,1.0,seir,2.778,False,False
ARGENTINA,ARGENTINA,2013-12-29,no_effect,nb,loglinear,7,0.75,hostvector,2.299,False,False
ARGENTINA,ARGENTINA,2013-12-29,no_effect,nb,loglinear,7,0.75,seir,2.539,False,False
ARGENTINA,ARGENTINA,2013-12-29,no_effect,poisson,briere,3,1.0,hostvector,-22.477,True,True
ARGENTINA,ARGENTINA,2013-12-29,no_effect,poisson,briere,3,1.0,seir,-2.72,True,False
ARGENTINA,ARGENTINA,2013-12-29,no_effect,poisson,briere,3,0.75,hostvector,-25.789,True,True
ARGENTINA,ARGENTINA,2013-12-29,no_effect,poisson,briere,3,0.75,seir,-5.076,True,True
ARGENTINA,ARGENTINA,2013-12-29,no_effect,poisson,briere,5,1.0,hostvector,1.909,False,False
ARGENTINA,ARGENTINA,2013-12-29,no_effect,poisson,briere,5,1.0,seir,-3.337,True,False
ARGENTINA,ARGENTINA,2013-12-29,no_effect,poisson,briere,5,0.75,hostvector,-3.68,True,False
ARGENTINA,ARGENTINA,2013-12-29,no_effect,poisson,briere,5,0.75,seir,-7.536,True,True
ARGENTINA,ARGENTINA,2013-12-29,no_effect,poisson,briere,7,1.0,hostvector,-37.915,True,True
ARGENTINA,ARGENTINA,2013-12-29,no_effect,poisson,briere,7,1.0,seir,-47.774,True,True
ARGENTINA,ARGENTINA,2013-12-29,no_effect,poisson,briere,7,0.75,hostvector,-49.024,True,True
ARGENTINA,ARGENTINA,2013-12-29,no_effect,poisson,briere,7,0.75,seir,-57.615,True,True
ARGENTINA,ARGENTINA,2013-12-29,no_effect,poisson,loglinear,3,1.0,hostvector,-26.416,True,True
ARGENTINA,ARGENTINA,2013-12-29,no_effect,poisson,loglinear,3,1.0,seir,-3.725,True,False
ARGENTINA,ARGENTINA,2013-12-29,no_effect,poisson,loglinear,3,0.75,hostvector,-27.119,True,True
ARGENTINA,ARGENTINA,2013-12-29,no_effect,poisson,loglinear,3,0.75,seir,-6.089,True,True
ARGENTINA,ARGENTINA,2013-12-29,no_effect,poisson,loglinear,5,1.0,hostvector,3.085,False,False
ARGENTINA,ARGENTINA,2013-12-29,no_effect,poisson,loglinear,5,1.0,seir,-0.325,True,False
ARGENTINA,ARGENTINA,2013-12-29,no_effect,poisson,loglinear,5,0.75,hostvector,-3.08,True,False
ARGENTINA,ARGENTINA,2013-12-29,no_effect,poisson,loglinear,5,0.75,seir,0.134,False,False
ARGENTINA,ARGENTINA,2013-12-29,no_effect,poisson,loglinear,7,1.0,hostvector,-17.797,True,True
ARGENTINA,ARGENTINA,2013-12-29,no_effect,poisson,loglinear,7,1.0,seir,-26.501,True,True
ARGENTINA,ARGENTINA,2013-12-29,no_effect,poisson,loglinear,7,0.75,hostvector,-25.058,True,True
ARGENTINA,ARGENTINA,2013-12-29,no_effect,poisson,loglinear,7,0.75,seir,-33.204,True,True
