observation,margin,false_positive_pct,power_pct,youden
poisson,0,85.7,95.3,9.7
poisson,1,83.7,95.1,11.4
poisson,2,81.7,94.5,12.8
poisson,3,79.8,94.0,14.2
poisson,4,78.6,93.5,14.9
poisson,6,75.7,92.9,17.2
poisson,8,73.6,92.1,18.5
poisson,12,69.3,90.9,21.6
poisson,16,65.5,89.2,23.8
poisson,24,58.8,86.6,27.8
nb,0,18.7,73.4,54.7
nb,1,13.0,69.5,56.5
nb,2,9.4,66.4,57.0
nb,3,7.4,64.3,56.9
nb,4,6.2,61.8,55.6
nb,6,4.4,56.4,52.0
nb,8,3.8,51.1,47.3
nb,12,3.3,43.3,40.0
nb,16,2.8,37.1,34.3
nb,24,2.0,32.3,30.2
