country,unit,window_start,arm,observation,temp_form,rain_lag,train_frac,structure,aic_climate,aic_constant,delta_aic,climate_wins,weeks,cases
ARGENTINA,ARGENTINA,2013-12-29,as_run,nb,briere,3,1.0,hostvector,364.2282,365.9842,-1.756,1,36,2837.0
ARGENTINA,ARGENTINA,2013-12-29,thorough,nb,briere,3,1.0,hostvector,364.2282,365.9842,-1.756,1,36,2837.0
ARGENTINA,ARGENTINA,2013-12-29,as_run,nb,briere,3,1.0,seir,358.938,359.2413,-0.3033,1,36,2837.0
ARGENTINA,ARGENTINA,2013-12-29,thorough,nb,briere,3,1.0,seir,358.938,359.2413,-0.3033,1,36,2837.0
ARGENTINA,ARGENTINA,2013-12-29,as_run,nb,briere,3,0.75,hostvector,297.8661,298.5083,-0.6422,1,27,2582.0
ARGENTINA,ARGENTINA,2013-12-29,thorough,nb,briere,3,0.75,hostvector,297.8661,298.5083,-0.6422,1,27,2582.0
ARGENTINA,ARGENTINA,2013-12-29,as_run,nb,briere,3,0.75,seir,292.0744,291.536,0.5384,0,27,2582.0
ARGENTINA,ARGENTINA,2013-12-29,thorough,nb,briere,3,0.75,seir,292.0744,291.536,0.5384,0,27,2582.0
ARGENTINA,ARGENTINA,2013-12-29,as_run,nb,briere,5,1.0,hostvector,364.3682,365.9842,-1.616,1,36,2837.0
ARGENTINA,ARGENTINA,2013-12-29,thorough,nb,briere,5,1.0,hostvector,364.3682,365.9842,-1.616,1,36,2837.0
ARGENTINA,ARGENTINA,2013-12-29,as_run,nb,briere,5,1.0,seir,358.1561,359.2413,-1.0852,1,36,2837.0
ARGENTINA,ARGENTINA,2013-12-29,thorough,nb,briere,5,1.0,seir,358.1561,359.2413,-1.0852,1,36,2837.0
ARGENTINA,ARGENTINA,2013-12-29,as_run,nb,briere,5,0.75,hostvector,297.8618,298.5083,-0.6465,1,27,2582.0
ARGENTINA,ARGENTINA,2013-12-29,thorough,nb,briere,5,0.75,hostvector,297.8618,298.5083,-0.6465,1,27,2582.0
ARGENTINA,ARGENTINA,2013-12-29,as_run,nb,briere,5,0.75,seir,291.7369,291.536,0.2009,0,27,2582.0
ARGENTINA,ARGENTINA,2013-12-29,thorough,nb,briere,5,0.75,seir,291.7369,291.536,0.2009,0,27,2582.0
ARGENTINA,ARGENTINA,2013-12-29,as_run,nb,briere,7,1.0,hostvector,364.371,365.9842,-1.6131,1,36,2837.0
ARGENTINA,ARGENTINA,2013-12-29,thorough,nb,briere,7,1.0,hostvector,364.371,365.9842,-1.6131,1,36,2837.0
ARGENTINA,ARGENTINA,2013-12-29,as_run,nb,briere,7,1.0,seir,358.6559,359.2413,-0.5854,1,36,2837.0
ARGENTINA,ARGENTINA,2013-12-29,thorough,nb,briere,7,1.0,seir,358.6559,359.2413,-0.5854,1,36,2837.0
ARGENTINA,ARGENTINA,2013-12-29,as_run,nb,briere,7,0.75,hostvector,297.8688,298.5083,-0.6395,1,27,2582.0
ARGENTINA,ARGENTINA,2013-12-29,thorough,nb,briere,7,0.75,hostvector,297.8688,298.5083,-0.6395,1,27,2582.0
