specification,share_endorsing_climate,observation,temp_form,rain_lag,train_frac,structure,params
poisson|loglinear|3|0.75|seir|central,0.9593,poisson,loglinear,3,0.75,seir,central
poisson|loglinear|7|1.0|seir|central,0.9502,poisson,loglinear,7,1.0,seir,central
poisson|loglinear|5|1.0|hostvector|central,0.9502,poisson,loglinear,5,1.0,hostvector,central
poisson|loglinear|3|0.75|seir|alt,0.9502,poisson,loglinear,3,0.75,seir,alt
poisson|loglinear|7|1.0|seir|alt,0.9457,poisson,loglinear,7,1.0,seir,alt
poisson|loglinear|7|1.0|hostvector|central,0.9457,poisson,loglinear,7,1.0,hostvector,central
poisson|loglinear|7|1.0|hostvector|alt,0.9457,poisson,loglinear,7,1.0,hostvector,alt
poisson|loglinear|3|0.75|hostvector|central,0.9457,poisson,loglinear,3,0.75,hostvector,central
poisson|loglinear|7|0.75|seir|central,0.9457,poisson,loglinear,7,0.75,seir,central
poisson|loglinear|5|0.75|seir|alt,0.9457,poisson,loglinear,5,0.75,seir,alt
poisson|loglinear|3|1.0|seir|alt,0.9412,poisson,loglinear,3,1.0,seir,alt
poisson|loglinear|3|1.0|seir|central,0.9412,poisson,loglinear,3,1.0,seir,central
poisson|loglinear|3|1.0|hostvector_tempmort|central,0.9412,poisson,loglinear,3,1.0,hostvector_tempmort,central
poisson|loglinear|7|1.0|hostvector_tempmort|alt,0.9412,poisson,loglinear,7,1.0,hostvector_tempmort,alt
poisson|loglinear|5|1.0|seir|central,0.9367,poisson,loglinear,5,1.0,seir,central
poisson|loglinear|7|1.0|hostvector_tempmort|central,0.9367,poisson,loglinear,7,1.0,hostvector_tempmort,central
poisson|loglinear|5|0.75|seir|central,0.9367,poisson,loglinear,5,0.75,seir,central
poisson|loglinear|5|0.75|hostvector_tempmort|central,0.9321,poisson,loglinear,5,0.75,hostvector_tempmort,central
poisson|loglinear|5|1.0|seir|alt,0.9321,poisson,loglinear,5,1.0,seir,alt
poisson|loglinear|3|1.0|hostvector|central,0.9321,poisson,loglinear,3,1.0,hostvector,central
poisson|loglinear|5|0.75|hostvector|alt,0.9321,poisson,loglinear,5,0.75,hostvector,alt
poisson|loglinear|3|0.75|hostvector_tempmort|central,0.9276,poisson,loglinear,3,0.75,hostvector_tempmort,central
poisson|loglinear|7|0.75|hostvector_tempmort|central,0.9276,poisson,loglinear,7,0.75,hostvector_tempmort,central
poisson|loglinear|3|0.75|hostvector_tempmort|alt,0.9231,poisson,loglinear,3,0.75,hostvector_tempmort,alt
poisson|loglinear|5|1.0|hostvector_tempmort|central,0.9231,poisson,loglinear,5,1.0,hostvector_tempmort,central
poisson|loglinear|5|0.75|hostvector_tempmort|alt,0.9186,poisson,loglinear,5,0.75,hostvector_tempmort,alt
poisson|loglinear|7|0.75|hostvector|central,0.9186,poisson,loglinear,7,0.75,hostvector,central
poisson|loglinear|3|1.0|hostvector|alt,0.9186,poisson,loglinear,3,1.0,hostvector,alt
poisson|loglinear|3|1.0|hostvector_tempmort|alt,0.9186,poisson,loglinear,3,1.0,hostvector_tempmort,alt
poisson|loglinear|7|0.75|hostvector|alt,0.914,poisson,loglinear,7,0.75,hostvector,alt
poisson|briere|3|1.0|seir|central,0.914,poisson,briere,3,1.0,seir,central
poisson|loglinear|7|0.75|hostvector_tempmort|alt,0.914,poisson,loglinear,7,0.75,hostvector_tempmort,alt
poisson|loglinear|3|0.75|hostvector|alt,0.914,poisson,loglinear,3,0.75,hostvector,alt
poisson|briere|3|1.0|seir|alt,0.914,poisson,briere,3,1.0,seir,alt
poisson|loglinear|5|0.75|hostvector|central,0.9095,poisson,loglinear,5,0.75,hostvector,central
