country,unit,window_start,location,observation,temp_form,rain_lag,train_frac,structure,params,delta_aic,climate_wins,weeks,cases
BOLIVIA,PANDO,2015-10-04,primary,nb,briere,3,1.0,hostvector,central,-38.849,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,primary,nb,briere,3,1.0,hostvector,alt,-43.335,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,primary,nb,briere,3,1.0,seir,central,-35.07,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,primary,nb,briere,3,1.0,seir,alt,-35.074,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,primary,nb,briere,3,1.0,hostvector_tempmort,central,-42.278,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,primary,nb,briere,3,1.0,hostvector_tempmort,alt,-46.029,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,primary,nb,briere,3,0.75,hostvector,central,-49.387,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,primary,nb,briere,3,0.75,hostvector,alt,-48.866,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,primary,nb,briere,3,0.75,seir,central,-52.646,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,primary,nb,briere,3,0.75,seir,alt,-51.43,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,primary,nb,briere,3,0.75,hostvector_tempmort,central,-54.735,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,primary,nb,briere,3,0.75,hostvector_tempmort,alt,-53.183,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,primary,nb,briere,5,1.0,hostvector,central,-26.875,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,primary,nb,briere,5,1.0,hostvector,alt,-28.314,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,primary,nb,briere,5,1.0,seir,central,-26.143,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,primary,nb,briere,5,1.0,seir,alt,-25.018,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,primary,nb,briere,5,1.0,hostvector_tempmort,central,-30.737,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,primary,nb,briere,5,1.0,hostvector_tempmort,alt,-31.158,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,primary,nb,briere,5,0.75,hostvector,central,-24.038,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,primary,nb,briere,5,0.75,hostvector,alt,-23.575,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,primary,nb,briere,5,0.75,seir,central,-25.913,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,primary,nb,briere,5,0.75,seir,alt,-25.113,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,primary,nb,briere,5,0.75,hostvector_tempmort,central,-29.457,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,primary,nb,briere,5,0.75,hostvector_tempmort,alt,-27.917,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,primary,nb,briere,7,1.0,hostvector,central,-22.168,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,primary,nb,briere,7,1.0,hostvector,alt,-18.239,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,primary,nb,briere,7,1.0,seir,central,-26.035,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,primary,nb,briere,7,1.0,seir,alt,-25.484,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,primary,nb,briere,7,1.0,hostvector_tempmort,central,-27.234,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,primary,nb,briere,7,1.0,hostvector_tempmort,alt,-22.306,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,primary,nb,briere,7,0.75,hostvector,central,-25.25,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,primary,nb,briere,7,0.75,hostvector,alt,-25.324,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,primary,nb,briere,7,0.75,seir,central,-26.78,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,primary,nb,briere,7,0.75,seir,alt,-26.105,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,primary,nb,briere,7,0.75,hostvector_tempmort,central,-30.768,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,primary,nb,briere,7,0.75,hostvector_tempmort,alt,-29.841,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,primary,nb,loglinear,3,1.0,seir,central,-34.795,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,primary,nb,loglinear,3,1.0,seir,alt,-16.744,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,primary,nb,loglinear,3,0.75,seir,central,-49.654,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,primary,nb,loglinear,3,0.75,seir,alt,-48.751,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,primary,nb,loglinear,5,1.0,seir,central,-22.812,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,primary,nb,loglinear,5,1.0,seir,alt,-21.299,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,primary,nb,loglinear,5,0.75,seir,central,-22.13,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,primary,nb,loglinear,5,0.75,seir,alt,-21.398,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,primary,nb,loglinear,7,1.0,seir,central,-18.162,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,primary,nb,loglinear,7,1.0,seir,alt,837.593,0,36,3252.0
BOLIVIA,PANDO,2015-10-04,primary,nb,loglinear,7,0.75,seir,central,585.163,0,27,3046.0
BOLIVIA,PANDO,2015-10-04,primary,nb,loglinear,7,0.75,seir,alt,-24.74,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,primary,poisson,briere,3,1.0,hostvector,central,-593.166,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,primary,poisson,briere,3,1.0,hostvector,alt,-629.257,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,primary,poisson,briere,3,1.0,seir,central,-542.585,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,primary,poisson,briere,3,1.0,seir,alt,-548.194,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,primary,poisson,briere,3,1.0,hostvector_tempmort,central,-619.983,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,primary,poisson,briere,3,1.0,hostvector_tempmort,alt,-651.561,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,primary,poisson,briere,3,0.75,hostvector,central,-625.034,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,primary,poisson,briere,3,0.75,hostvector,alt,-621.316,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,primary,poisson,briere,3,0.75,seir,central,-629.551,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,primary,poisson,briere,3,0.75,seir,alt,-613.099,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,primary,poisson,briere,3,0.75,hostvector_tempmort,central,-667.49,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,primary,poisson,briere,3,0.75,hostvector_tempmort,alt,-656.385,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,primary,poisson,briere,5,1.0,hostvector,central,-362.564,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,primary,poisson,briere,5,1.0,hostvector,alt,-356.199,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,primary,poisson,briere,5,1.0,seir,central,-358.525,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,primary,poisson,briere,5,1.0,seir,alt,-349.41,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,primary,poisson,briere,5,1.0,hostvector_tempmort,central,-392.585,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,primary,poisson,briere,5,1.0,hostvector_tempmort,alt,-380.947,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,primary,poisson,briere,5,0.75,hostvector,central,-325.562,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,primary,poisson,briere,5,0.75,hostvector,alt,-326.586,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,primary,poisson,briere,5,0.75,seir,central,-326.138,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,primary,poisson,briere,5,0.75,seir,alt,-318.55,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,primary,poisson,briere,5,0.75,hostvector_tempmort,central,-366.627,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,primary,poisson,briere,5,0.75,hostvector_tempmort,alt,-360.721,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,primary,poisson,briere,7,1.0,hostvector,central,-363.323,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,primary,poisson,briere,7,1.0,hostvector,alt,-358.549,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,primary,poisson,briere,7,1.0,seir,central,-359.16,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,primary,poisson,briere,7,1.0,seir,alt,-351.902,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,primary,poisson,briere,7,1.0,hostvector_tempmort,central,-394.434,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,primary,poisson,briere,7,1.0,hostvector_tempmort,alt,-384.515,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,primary,poisson,briere,7,0.75,hostvector,central,-306.181,1,27,3046.0
