country,unit,window_start,truth,observation,temp_form,rain_lag,train_frac,structure,params,delta_aic,climate_wins,climate_wins_margin4
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,briere,3,1.0,hostvector,central,2.925,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,briere,3,1.0,hostvector,alt,3.202,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,briere,3,1.0,seir,central,0.575,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,briere,3,1.0,seir,alt,0.776,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,briere,3,1.0,hostvector_tempmort,central,-0.308,1,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,briere,3,1.0,hostvector_tempmort,alt,0.809,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,briere,3,0.75,hostvector,central,3.077,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,briere,3,0.75,hostvector,alt,3.162,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,briere,3,0.75,seir,central,1.305,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,briere,3,0.75,seir,alt,1.46,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,briere,3,0.75,hostvector_tempmort,central,2.855,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,briere,3,0.75,hostvector_tempmort,alt,3.029,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,briere,5,1.0,hostvector,central,3.444,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,briere,5,1.0,hostvector,alt,3.64,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,briere,5,1.0,seir,central,1.774,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,briere,5,1.0,seir,alt,1.93,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,briere,5,1.0,hostvector_tempmort,central,0.569,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,briere,5,1.0,hostvector_tempmort,alt,1.614,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,briere,5,0.75,hostvector,central,3.88,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,briere,5,0.75,hostvector,alt,3.886,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,briere,5,0.75,seir,central,3.343,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,briere,5,0.75,seir,alt,3.406,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,briere,5,0.75,hostvector_tempmort,central,3.842,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,briere,5,0.75,hostvector_tempmort,alt,3.867,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,briere,7,1.0,hostvector,central,3.18,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,briere,7,1.0,hostvector,alt,3.402,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,briere,7,1.0,seir,central,1.777,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,briere,7,1.0,seir,alt,1.929,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,briere,7,1.0,hostvector_tempmort,central,-0.439,1,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,briere,7,1.0,hostvector_tempmort,alt,0.721,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,briere,7,0.75,hostvector,central,3.437,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,briere,7,0.75,hostvector,alt,3.414,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,briere,7,0.75,seir,central,3.136,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,briere,7,0.75,seir,alt,3.191,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,briere,7,0.75,hostvector_tempmort,central,3.289,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,briere,7,0.75,hostvector_tempmort,alt,3.309,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,loglinear,3,1.0,hostvector,central,2.868,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,loglinear,3,1.0,hostvector,alt,3.1,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,loglinear,3,1.0,seir,central,0.434,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,loglinear,3,1.0,seir,alt,0.672,0,0
