country,unit,window_start,observation,rain_lag,train_frac,structure,params,true_a_temp,true_a_rain,true_beta_0,a_temp_hat,a_temp_se,a_rain_hat,a_rain_se,beta_0_hat,beta_0_se
BOLIVIA,BOLIVIA,2015-01-11,nb,3,1.0,hostvector,central,1.0,0.3,0.244089,0.690928,0.325155,0.24483,0.103267,0.227602,0.014679
BOLIVIA,BOLIVIA,2015-01-11,nb,3,1.0,hostvector,alt,1.0,0.3,0.244089,1.268746,0.489325,0.269401,0.109778,0.226001,0.022357
BOLIVIA,BOLIVIA,2015-01-11,nb,3,1.0,seir,central,1.0,0.3,0.244089,0.209352,0.277122,0.308703,0.138111,0.393001,0.035876
BOLIVIA,BOLIVIA,2015-01-11,nb,3,1.0,seir,alt,1.0,0.3,0.244089,0.192323,0.291552,0.304585,0.142951,0.493423,0.049962
BOLIVIA,BOLIVIA,2015-01-11,nb,3,1.0,hostvector_tempmort,central,1.0,0.3,0.244089,0.72069,0.309394,0.244045,0.102833,0.232727,0.014875
BOLIVIA,BOLIVIA,2015-01-11,nb,3,1.0,hostvector_tempmort,alt,1.0,0.3,0.244089,1.268829,0.462078,0.265261,0.108053,0.229137,0.021246
BOLIVIA,BOLIVIA,2015-01-11,nb,3,0.75,hostvector,central,1.0,0.3,0.244089,0.513503,0.360303,0.246461,0.113325,0.21666,0.015978
BOLIVIA,BOLIVIA,2015-01-11,nb,3,0.75,hostvector,alt,1.0,0.3,0.244089,1.007326,0.537805,0.261258,0.1183,0.211047,0.023239
BOLIVIA,BOLIVIA,2015-01-11,nb,3,0.75,seir,central,1.0,0.3,0.244089,0.001102,0.287038,0.374885,0.154259,0.350779,0.043916
BOLIVIA,BOLIVIA,2015-01-11,nb,3,0.75,seir,alt,1.0,0.3,0.244089,0.0,0.30865,0.37516,0.166119,0.438134,0.062007
BOLIVIA,BOLIVIA,2015-01-11,nb,3,0.75,hostvector_tempmort,central,1.0,0.3,0.244089,0.588546,0.350629,0.246763,0.115892,0.224102,0.016747
BOLIVIA,BOLIVIA,2015-01-11,nb,3,0.75,hostvector_tempmort,alt,1.0,0.3,0.244089,1.060832,0.518919,0.257168,0.119327,0.217178,0.022861
BOLIVIA,BOLIVIA,2015-01-11,nb,5,1.0,hostvector,central,1.0,0.3,0.244089,0.395438,0.395473,0.113776,0.12398,0.20681,0.020646
BOLIVIA,BOLIVIA,2015-01-11,nb,5,1.0,hostvector,alt,1.0,0.3,0.244089,1.126868,0.628592,0.20273,0.148822,0.194959,0.021022
BOLIVIA,BOLIVIA,2015-01-11,nb,5,1.0,seir,central,1.0,0.3,0.244089,0.0,0.001282,0.018212,0.189902,0.442898,0.110502
BOLIVIA,BOLIVIA,2015-01-11,nb,5,1.0,seir,alt,1.0,0.3,0.244089,6.7e-05,0.331436,-0.007521,0.192397,0.580551,0.135692
BOLIVIA,BOLIVIA,2015-01-11,nb,5,1.0,hostvector_tempmort,central,1.0,0.3,0.244089,0.396783,0.388359,0.093143,0.122828,0.215737,0.020896
BOLIVIA,BOLIVIA,2015-01-11,nb,5,1.0,hostvector_tempmort,alt,1.0,0.3,0.244089,1.082322,0.605841,0.183181,0.146503,0.199515,0.020959
BOLIVIA,BOLIVIA,2015-01-11,nb,5,0.75,hostvector,central,1.0,0.3,0.244089,0.175627,0.459784,0.096387,0.138517,0.198943,0.0215
BOLIVIA,BOLIVIA,2015-01-11,nb,5,0.75,hostvector,alt,1.0,0.3,0.244089,0.783139,0.730039,0.174131,0.165236,0.182883,0.021335
BOLIVIA,BOLIVIA,2015-01-11,nb,5,0.75,seir,central,1.0,0.3,0.244089,0.0,0.003529,0.045236,0.261198,0.424635,0.151463
BOLIVIA,BOLIVIA,2015-01-11,nb,5,0.75,seir,alt,1.0,0.3,0.244089,0.000251,0.399215,0.015902,0.232119,0.559562,0.168645
