k,factors,within,n_combos
1,observation,0.46727339584482414,2
1,temp_form,0.14951719047911968,2
1,rain_lag,0.29509785988659265,3
1,train_frac,0.29031198686371196,2
1,structure,0.17433178624497708,3
1,params,0.022715592558330788,2
2,observation+temp_form,0.5966962028423412,4
2,observation+rain_lag,0.5872068230277093,6
2,observation+train_frac,0.5966962028423409,4
2,observation+structure,0.5448806221016211,6
2,observation+params,0.4744208799746705,4
2,temp_form+rain_lag,0.3596530670470766,6
2,temp_form+train_frac,0.40330354218332753,4
2,temp_form+structure,0.279553355295487,6
2,temp_form+params,0.16427015250544966,4
2,rain_lag+train_frac,0.4547615571332081,6
2,rain_lag+structure,0.37999429572588117,9
2,rain_lag+params,0.2945299266435435,6
2,train_frac+structure,0.40454875999899836,6
2,train_frac+params,0.29151333179357264,4
2,structure+params,0.1825407022631744,6
3,observation+temp_form+rain_lag,0.6684696276745712,12
3,observation+temp_form+train_frac,0.7043343653250591,8
3,observation+temp_form+structure,0.6531079427308646,12
3,observation+temp_form+params,0.6061804987988342,8
3,observation+rain_lag+train_frac,0.6646466363291131,12
3,observation+rain_lag+structure,0.6400069849474397,18
3,observation+rain_lag+params,0.5882129807931993,12
3,observation+train_frac+structure,0.6565214112826605,12
3,observation+train_frac+params,0.5936681607477977,8
3,observation+structure+params,0.5494577355998934,12
3,temp_form+rain_lag+train_frac,0.5100613982966961,12
3,temp_form+rain_lag+structure,0.4276537192874451,18
3,temp_form+rain_lag+params,0.3555568233683236,12
3,temp_form+train_frac+structure,0.47614925619636356,12
3,temp_form+train_frac+params,0.39123890630606145,8
3,temp_form+structure+params,0.2791732430134332,12
3,rain_lag+train_frac+structure,0.5266777037887831,18
3,rain_lag+train_frac+params,0.45206184273272715,12
3,rain_lag+structure+params,0.3784393105992475,18
3,train_frac+structure+params,0.40580825177980684,12
4,observation+temp_form+rain_lag+train_frac,0.7391215053005842,24
4,observation+temp_form+rain_lag+structure,0.7062160295983394,36
4,observation+temp_form+rain_lag+params,0.6651955205203803,24
4,observation+temp_form+train_frac+structure,0.7331117840460833,24
4,observation+temp_form+train_frac+params,0.6961887293366898,16
4,observation+temp_form+structure+params,0.6543197431302411,24
4,observation+rain_lag+train_frac+structure,0.7162678594774793,36
4,observation+rain_lag+train_frac+params,0.6636520214293258,24
4,observation+rain_lag+structure+params,0.6408237403576643,36
4,observation+train_frac+structure+params,0.656594705506643,24
4,temp_form+rain_lag+train_frac+structure,0.5585373019858438,36
4,temp_form+rain_lag+train_frac+params,0.5031738958209178,24
4,temp_form+rain_lag+structure+params,0.42394796012126795,36
4,temp_form+train_frac+structure+params,0.46739528189115603,24
4,rain_lag+train_frac+structure+params,0.5217594584761598,36
5,observation+temp_form+rain_lag+train_frac+structure,0.7671759623782323,72
5,observation+temp_form+rain_lag+train_frac+params,0.735500454034539,48
5,observation+temp_form+rain_lag+structure+params,0.7050031219675853,72
5,observation+temp_form+train_frac+structure+params,0.729892414953843,48
5,observation+rain_lag+train_frac+structure+params,0.7137830801044119,72
5,temp_form+rain_lag+train_frac+structure+params,0.5516735653030015,72
6,observation+temp_form+rain_lag+train_frac+structure+params,0.7646439073357351,144
