country,unit,window_start,observation,rain_lag,train_frac,structure,params,true_a_temp,true_a_rain,a_temp_hat,a_temp_se,a_rain_hat,a_rain_se
BOLIVIA,LA PAZ,2020-09-13,nb,3,1.0,hostvector,central,1.0,0.3,0.949029,21009.367127,0.234616,0.027401
BOLIVIA,LA PAZ,2020-09-13,nb,3,1.0,hostvector,alt,1.0,0.3,1.041696,22557.937881,0.277156,0.031826
BOLIVIA,LA PAZ,2020-09-13,nb,3,1.0,seir,central,1.0,0.3,0.84805,31459.019847,0.221266,0.0284
BOLIVIA,LA PAZ,2020-09-13,nb,3,1.0,seir,alt,1.0,0.3,0.890943,,0.219185,0.027885
BOLIVIA,LA PAZ,2020-09-13,nb,3,1.0,hostvector_tempmort,central,1.0,0.3,0.92957,7667.755607,0.129587,0.016524
BOLIVIA,LA PAZ,2020-09-13,nb,3,1.0,hostvector_tempmort,alt,1.0,0.3,0.952031,6795.516644,0.135284,0.017379
BOLIVIA,LA PAZ,2020-09-13,nb,3,0.75,hostvector,central,1.0,0.3,0.987073,,0.281202,0.029145
BOLIVIA,LA PAZ,2020-09-13,nb,3,0.75,hostvector,alt,1.0,0.3,1.014132,87153.442599,0.317845,0.042589
BOLIVIA,LA PAZ,2020-09-13,nb,3,0.75,seir,central,1.0,0.3,0.944629,29959.824584,0.287541,0.034167
BOLIVIA,LA PAZ,2020-09-13,nb,3,0.75,seir,alt,1.0,0.3,0.595813,,0.284759,0.032875
BOLIVIA,LA PAZ,2020-09-13,nb,3,0.75,hostvector_tempmort,central,1.0,0.3,1.474673,313921.397424,0.166685,0.368497
BOLIVIA,LA PAZ,2020-09-13,nb,3,0.75,hostvector_tempmort,alt,1.0,0.3,0.959273,,0.177829,0.010817
BOLIVIA,LA PAZ,2020-09-13,nb,5,1.0,hostvector,central,1.0,0.3,1.057775,12873.741818,0.165781,0.027661
BOLIVIA,LA PAZ,2020-09-13,nb,5,1.0,hostvector,alt,1.0,0.3,0.836955,24447.744094,0.193392,0.03217
BOLIVIA,LA PAZ,2020-09-13,nb,5,1.0,seir,central,1.0,0.3,0.921243,23952.704502,0.157346,0.028287
BOLIVIA,LA PAZ,2020-09-13,nb,5,1.0,seir,alt,1.0,0.3,0.916616,,0.156909,0.02788
BOLIVIA,LA PAZ,2020-09-13,nb,5,1.0,hostvector_tempmort,central,1.0,0.3,0.917246,12452.252266,0.092412,0.016884
BOLIVIA,LA PAZ,2020-09-13,nb,5,1.0,hostvector_tempmort,alt,1.0,0.3,0.597327,9699.115734,0.096392,0.017568
BOLIVIA,LA PAZ,2020-09-13,nb,5,0.75,hostvector,central,1.0,0.3,0.990408,,0.227969,0.023501
BOLIVIA,LA PAZ,2020-09-13,nb,5,0.75,hostvector,alt,1.0,0.3,1.004645,,0.252931,0.037821
BOLIVIA,LA PAZ,2020-09-13,nb,5,0.75,seir,central,1.0,0.3,1.322887,28136.065722,0.238232,0.038814
BOLIVIA,LA PAZ,2020-09-13,nb,5,0.75,seir,alt,1.0,0.3,0.884789,47393.013564,0.23674,0.038816
BOLIVIA,LA PAZ,2020-09-13,nb,5,0.75,hostvector_tempmort,central,1.0,0.3,0.931341,22837.044881,0.141407,0.02589
BOLIVIA,LA PAZ,2020-09-13,nb,5,0.75,hostvector_tempmort,alt,1.0,0.3,1.428022,62012.620328,0.147744,0.063933
BOLIVIA,LA PAZ,2020-09-13,nb,7,1.0,hostvector,central,1.0,0.3,1.018548,22179.486686,0.116281,0.029173
BOLIVIA,LA PAZ,2020-09-13,nb,7,1.0,hostvector,alt,1.0,0.3,0.772899,25242.839611,0.133709,0.033164
BOLIVIA,LA PAZ,2020-09-13,nb,7,1.0,seir,central,1.0,0.3,0.931771,,0.111972,0.028694
BOLIVIA,LA PAZ,2020-09-13,nb,7,1.0,seir,alt,1.0,0.3,0.457446,39228.074386,0.112762,0.029057
BOLIVIA,LA PAZ,2020-09-13,nb,7,1.0,hostvector_tempmort,central,1.0,0.3,0.90619,,0.211632,
BOLIVIA,LA PAZ,2020-09-13,nb,7,1.0,hostvector_tempmort,alt,1.0,0.3,0.87957,10467.465538,0.069028,0.018452
BOLIVIA,LA PAZ,2020-09-13,nb,7,0.75,hostvector,central,1.0,0.3,0.79313,97670.949726,0.187142,0.044238
BOLIVIA,LA PAZ,2020-09-13,nb,7,0.75,hostvector,alt,1.0,0.3,0.987958,60556.586672,0.206109,0.047861
BOLIVIA,LA PAZ,2020-09-13,nb,7,0.75,seir,central,1.0,0.3,0.799684,,-0.584938,
BOLIVIA,LA PAZ,2020-09-13,nb,7,0.75,seir,alt,1.0,0.3,0.907088,50067.531217,0.20707,0.045758
BOLIVIA,LA PAZ,2020-09-13,nb,7,0.75,hostvector_tempmort,central,1.0,0.3,0.922574,25275.925098,0.120936,0.027706
BOLIVIA,LA PAZ,2020-09-13,nb,7,0.75,hostvector_tempmort,alt,1.0,0.3,0.928835,23086.343012,0.127947,0.029025
BOLIVIA,LA PAZ,2020-09-13,poisson,3,1.0,hostvector,central,1.0,0.3,1.158704,8205.518609,0.198612,0.047493
BOLIVIA,LA PAZ,2020-09-13,poisson,3,1.0,hostvector,alt,1.0,0.3,1.043573,11406.744194,0.245263,0.055755
BOLIVIA,LA PAZ,2020-09-13,poisson,3,1.0,seir,central,1.0,0.3,0.959762,9863.103433,0.177577,0.0448
BOLIVIA,LA PAZ,2020-09-13,poisson,3,1.0,seir,alt,1.0,0.3,0.546528,,0.178304,0.042547
BOLIVIA,LA PAZ,2020-09-13,poisson,3,1.0,hostvector_tempmort,central,1.0,0.3,0.92642,4862.835175,0.103665,0.027328
BOLIVIA,LA PAZ,2020-09-13,poisson,3,1.0,hostvector_tempmort,alt,1.0,0.3,0.90597,4576.104265,0.109603,0.028354
