country,unit,window_start,weeks,mean_weekly,dispersion_index
ARGENTINA,ARGENTINA,2013-12-29,36,78.80555555555556,6.608
ARGENTINA,ARGENTINA,2014-12-07,33,84.06060606060606,16.541
ARGENTINA,ARGENTINA,2015-12-06,32,2422.59375,313.914
ARGENTINA,ARGENTINA,2018-12-02,34,93.67647058823529,6.058
ARGENTINA,ARGENTINA,2019-12-22,30,1976.5,33.279
BARBADOS,BARBADOS,2016-05-15,36,24.444444444444443,1.404
BARBADOS,BARBADOS,2020-08-23,30,51.666666666666664,10.703
BARBADOS,BARBADOS,2023-08-13,40,44.8,12.105
BELIZE,BELIZE,2014-04-13,51,98.37254901960785,3.433
BELIZE,BELIZE,2016-11-27,51,62.705882352941174,1.5
BELIZE,BELIZE,2019-04-28,42,313.1904761904762,4.692
BELIZE,BELIZE,2020-06-07,52,45.01923076923077,2.121
BOLIVIA,COCHABAMBA,2014-11-02,43,12.930232558139535,2.701
BOLIVIA,LA PAZ,2014-11-02,39,22.205128205128204,4.958
BOLIVIA,CHUQUISACA,2014-11-09,42,23.666666666666668,2.921
BOLIVIA,BENI,2014-11-23,39,110.71794871794872,3.334
BOLIVIA,BOLIVIA,2015-01-11,31,720.6774193548387,10.031
BOLIVIA,SANTA CRUZ,2015-01-11,30,1191.5333333333333,19.262
BOLIVIA,TARIJA,2015-01-25,30,92.13333333333334,6.69
BOLIVIA,BENI,2015-08-30,42,406.2857142857143,17.687
BOLIVIA,PANDO,2015-10-04,36,90.33333333333333,9.942
BOLIVIA,BOLIVIA,2015-11-08,33,969.3939393939394,13.98
BOLIVIA,CHUQUISACA,2015-11-08,33,32.484848484848484,2.229
BOLIVIA,SANTA CRUZ,2015-11-22,32,713.625,15.712
BOLIVIA,PANDO,2016-08-28,30,55.53333333333333,3.005
BOLIVIA,SANTA CRUZ,2016-11-06,37,218.32432432432432,10.009
BOLIVIA,CHUQUISACA,2016-11-20,35,11.028571428571428,1.817
BOLIVIA,COCHABAMBA,2016-11-20,31,14.32258064516129,1.541
BOLIVIA,COCHABAMBA,2017-11-05,39,15.076923076923077,1.894
BOLIVIA,BOLIVIA,2017-11-12,37,145.64864864864865,2.597
BOLIVIA,BENI,2017-11-19,31,80.58064516129032,2.915
BOLIVIA,TARIJA,2017-11-26,35,22.514285714285716,2.061
BOLIVIA,SANTA CRUZ,2017-12-03,34,164.64705882352942,3.567
BOLIVIA,CHUQUISACA,2017-12-17,30,13.0,1.556
BOLIVIA,BENI,2018-08-19,47,87.40425531914893,2.084
BOLIVIA,COCHABAMBA,2018-09-16,50,14.28,1.512
BOLIVIA,PANDO,2018-12-02,37,53.945945945945944,2.438
BOLIVIA,COCHABAMBA,2019-09-01,47,239.12765957446808,5.04
BOLIVIA,LA PAZ,2019-09-08,43,53.325581395348834,2.757
BOLIVIA,BENI,2019-10-13,33,246.54545454545453,5.068
BOLIVIA,BOLIVIA,2019-11-10,30,3804.8,47.959
BOLIVIA,CHUQUISACA,2019-11-10,31,139.51612903225808,6.06
BOLIVIA,TARIJA,2019-12-01,32,234.09375,5.636
BOLIVIA,COCHABAMBA,2020-08-09,49,10.346938775510203,1.034
BOLIVIA,SANTA CRUZ,2020-08-16,41,39.46341463414634,2.627
BOLIVIA,LA PAZ,2020-09-13,44,41.95454545454545,1.722
BOLIVIA,BENI,2020-09-20,44,49.88636363636363,1.976
BOLIVIA,PANDO,2021-08-01,48,42.041666666666664,3.351
BOLIVIA,BOLIVIA,2021-09-05,55,234.01818181818183,4.471
BOLIVIA,LA PAZ,2021-09-05,44,31.568181818181817,3.774
BOLIVIA,BENI,2021-12-05,31,73.80645161290323,2.613
BOLIVIA,COCHABAMBA,2021-12-12,30,45.4,2.347
BOLIVIA,BOLIVIA,2022-11-06,34,4554.058823529412,156.372
BOLIVIA,BOLIVIA,2023-10-15,42,1192.357142857143,62.118
BRAZIL,BRAZIL,2013-12-29,33,15368.212121212122,57.115
BRAZIL,BRAZIL,2014-11-30,36,41250.02777777778,432.851
BRAZIL,BRAZIL,2015-11-08,35,61993.6,1843.178
BRAZIL,BRAZIL,2016-08-07,57,9656.0,71.873
BRAZIL,BRAZIL,2018-12-02,38,55031.39473684211,252.646
BRAZIL,BRAZIL,2019-11-10,40,35803.175,354.207
BRAZIL,BRAZIL,2020-11-15,44,20247.68181818182,185.98
BRAZIL,BRAZIL,2021-12-26,35,60694.68571428571,650.014
BRAZIL,BRAZIL,2022-11-27,37,72648.94594594595,749.853
BRAZIL,BRAZIL,2023-11-26,36,271911.1111111111,2858.357
CAMBODIA,CAMBODIA,2011-03-27,40,383.925,2.705
CAMBODIA,CAMBODIA,2012-03-18,40,1027.325,3.621
CAMBODIA,CAMBODIA,2013-03-17,35,449.6,2.744
COLOMBIA,CUNDIMARCA,2002-02-24,30,51.7,4.127
COLOMBIA,SUCRE,2002-02-24,33,14.454545454545455,5.846
COLOMBIA,ARAUCA,2002-03-03,31,59.54838709677419,4.056
COLOMBIA,TOLIMA,2002-04-07,76,109.61842105263158,7.121
COLOMBIA,CORDOBA,2002-04-14,42,61.45238095238095,2.558
COLOMBIA,CAQUETA,2002-05-19,34,20.470588235294116,3.932
COLOMBIA,QUINDIO,2002-08-18,52,124.75,3.159
COLOMBIA,ARAUCA,2002-11-10,45,23.133333333333333,2.313
COLOMBIA,CORDOBA,2003-02-16,31,20.70967741935484,2.535
COLOMBIA,COLOMBIA,2018-11-04,94,2194.0106382978724,45.578
COLOMBIA,COLOMBIA,2023-07-02,78,5130.51282051282,41.944
COSTA RICA,COSTA RICA,2017-03-05,46,102.91304347826087,1.203
COSTA RICA,COSTA RICA,2020-02-09,42,211.21428571428572,1.218
COSTA RICA,COSTA RICA,2023-05-14,48,749.125,14.792
DOMINICAN REPUBLIC,SAN CRISTOBAL,2009-04-26,39,9.897435897435898,1.822
DOMINICAN REPUBLIC,DISTRITO NACIONAL,2009-06-07,33,22.575757575757574,1.167
DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,2015-05-31,46,406.8695652173913,9.332
DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,2018-08-19,33,67.81818181818181,5.887
DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,2019-04-07,54,405.1296296296296,6.576
DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,2021-05-30,42,95.19047619047619,4.695
DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,2022-03-20,51,213.76470588235293,8.643
ECUADOR,ECUADOR,2015-01-18,35,1163.2285714285715,7.403
ECUADOR,ECUADOR,2016-11-20,41,274.8048780487805,37.811
ECUADOR,ECUADOR,2018-11-11,52,146.3846153846154,8.277
ECUADOR,ECUADOR,2019-11-10,41,350.1219512195122,8.344
ECUADOR,ORELLANA,2019-12-29,36,12.555555555555555,2.483
ECUADOR,ECUADOR,2023-11-12,59,1100.5084745762713,7.01
EL SALVADOR,EL SALVADOR,2014-03-16,41,1194.560975609756,14.894
EL SALVADOR,EL SALVADOR,2019-04-14,39,652.3846153846154,35.013
EL SALVADOR,EL SALVADOR,2021-12-12,55,308.5090909090909,5.131
EL SALVADOR,EL SALVADOR,2023-01-01,45,115.44444444444444,11.8
FRENCH GUIANA,FRENCH GUIANA,2020-01-05,50,174.68,8.755
GRENADA,GRENADA,2018-03-18,39,9.384615384615385,1.018
GUADELOUPE,GUADELOUPE,2019-11-03,34,226.2941176470588,23.384
GUADELOUPE,GUADELOUPE,2020-06-28,33,427.030303030303,15.777
GUATEMALA,GUATEMALA,2014-06-29,33,535.7272727272727,83.479
GUATEMALA,GUATEMALA,2016-03-20,38,181.81578947368422,23.436
GUATEMALA,GUATEMALA,2019-04-28,38,1274.421052631579,12.061
GUATEMALA,GUATEMALA,2023-05-28,38,2079.3947368421054,36.908
GUYANA,GUYANA,2023-11-12,47,880.3617021276596,17.764
HONDURAS,HONDURAS,2015-02-15,36,967.7777777777778,93.215
HONDURAS,HONDURAS,2018-09-02,32,337.8125,5.567
HONDURAS,HONDURAS,2019-04-14,42,3087.5,17.222
HONDURAS,HONDURAS,2021-04-25,44,443.72727272727275,4.464
HONDURAS,HONDURAS,2024-03-17,39,4301.871794871795,31.33
JAMAICA,JAMAICA,2019-06-09,30,132.93333333333334,41.038
JAMAICA,JAMAICA,2023-07-16,32,273.46875,202.694
LAO PEOPLE'S DEMOCRATIC REPUBLIC,LAO PEOPLE'S DEMOCRATIC REPUBLIC,2018-03-25,44,147.5681818181818,5.183
LAO PEOPLE'S DEMOCRATIC REPUBLIC,LAO PEOPLE'S DEMOCRATIC REPUBLIC,2019-03-31,38,986.2105263157895,7.149
LAO PEOPLE'S DEMOCRATIC REPUBLIC,LAO PEOPLE'S DEMOCRATIC REPUBLIC,2020-03-15,42,170.0952380952381,3.869
LAO PEOPLE'S DEMOCRATIC REPUBLIC,LAO PEOPLE'S DEMOCRATIC REPUBLIC,2021-03-21,43,26.837209302325583,4.557
LAO PEOPLE'S DEMOCRATIC REPUBLIC,LAO PEOPLE'S DEMOCRATIC REPUBLIC,2022-04-10,36,797.8888888888889,14.767
LAO PEOPLE'S DEMOCRATIC REPUBLIC,LAO PEOPLE'S DEMOCRATIC REPUBLIC,2023-04-02,35,886.0571428571428,7.987
MEXICO,BAJA CALIFORNIA SUR,2003-06-08,34,22.823529411764707,18.345
MEXICO,SINALOA,2003-07-13,30,49.733333333333334,8.094
MEXICO,VERACRUZ,2003-07-13,31,33.38709677419355,20.569
MEXICO,VERACRUZ,2004-05-30,35,159.05714285714285,36.094
MEXICO,CHIAPAS,2005-05-08,37,54.7027027027027,8.405
MEXICO,TABASCO,2005-05-22,30,11.933333333333334,5.184
MEXICO,VERACRUZ,2005-05-22,36,122.91666666666667,41.235
MEXICO,OAXACA,2005-06-19,34,33.14705882352941,8.563
