country,retained,units,weeks_reported,longest_run,continuity,cases_in_run,peak_in_run
SINGAPORE,True,1,1170,652,0.5572649572649573,107367.0,888.0
GRENADA,True,1,758,598,0.7889182058047494,2025.0,46.0
COLOMBIA,True,38,3940,574,0.14568527918781726,1157673.0,11280.0
JAMAICA,True,1,574,574,1.0,23329.0,1963.0
PANAMA,True,12,4578,574,0.12538226299694188,119294.0,1757.0
PUERTO RICO,True,1,574,574,1.0,20855.0,473.0
MEXICO,True,33,18066,574,0.03177239012509687,1965685.0,27627.0
EL SALVADOR,True,1,574,574,1.0,194717.0,2897.0
ECUADOR,True,26,2625,574,0.21866666666666668,241028.0,3543.0
DOMINICAN REPUBLIC,True,36,8442,574,0.06799336650082918,109788.0,2505.0
HONDURAS,True,1,574,574,1.0,537379.0,9905.0
COSTA RICA,True,1,574,574,1.0,154172.0,1749.0
NICARAGUA,True,19,18232,574,0.031483106625713034,944198.0,9303.0
GUATEMALA,True,1,574,574,1.0,386515.0,7560.0
BARBADOS,True,1,574,574,1.0,9748.0,314.0
VIRGIN ISLANDS (US),False,1,574,574,1.0,219.0,35.0
BRAZIL,True,1,574,574,1.0,25814627.0,622095.0
UNITED STATES OF AMERICA,True,12,597,574,0.9614740368509213,9349.0,194.0
BOLIVIA,True,10,5631,574,0.10193571301722607,468547.0,12300.0
BERMUDA,False,1,574,574,1.0,9.0,1.0
LAO PEOPLE'S DEMOCRATIC REPUBLIC,True,1,702,533,0.7592592592592593,138457.0,2423.0
PARAGUAY,True,1,545,484,0.8880733944954129,757113.0,33430.0
PERU,True,26,6227,469,0.07531716717520476,865506.0,22030.0
VENEZUELA,True,1,463,417,0.9006479481641468,101881.0,2121.0
SAINT KITTS AND NEVIS,False,1,473,393,0.8308668076109936,618.0,52.0
BELIZE,True,1,544,388,0.7132352941176471,38387.0,790.0
URUGUAY,False,1,479,385,0.8037578288100209,1786.0,414.0
CHILE,False,1,395,379,0.959493670886076,213.0,28.0
ARUBA,False,1,410,367,0.8951219512195122,251.0,9.0
ARGENTINA,True,1,505,366,0.7247524752475247,152463.0,8685.0
SURINAME,False,1,374,365,0.9759358288770054,1176.0,96.0
SAINT LUCIA,False,1,439,365,0.8314350797266514,1974.0,418.0
YEMEN,True,1,394,343,0.8705583756345178,229283.0,8059.0
CURACAO,False,1,382,330,0.8638743455497382,0.0,0.0
MALAYSIA,False,1,624,312,0.5,610725.0,3642.0
SAINT BARTHELEMY,True,1,459,274,0.5969498910675382,1752.0,87.0
JAPAN,False,47,14664,260,0.01773049645390071,6.0,4.0
CAYMAN ISLANDS,False,1,429,249,0.5804195804195804,186.0,20.0
MONTSERRAT,False,1,467,217,0.46466809421841543,11.0,3.0
VIET NAM,True,1,285,208,0.7298245614035088,640869.0,9720.0
CAMBODIA,True,1,693,208,0.30014430014430016,78728.0,2451.0
VIRGIN ISLANDS (UK),False,1,335,197,0.5880597014925373,195.0,30.0
TURKS AND CAICOS ISLANDS,False,1,417,196,0.47002398081534774,302.0,56.0
FRENCH GUIANA,True,1,375,183,0.488,10765.0,407.0
HAITI,False,1,205,177,0.8634146341463415,1997.0,1758.0
"BONAIRE, SAINT EUSTATIUS AND SABA",False,1,209,157,0.7511961722488039,0.0,0.0
GUYANA,True,1,304,156,0.5131578947368421,86090.0,2256.0
PHILIPPINES,True,1,544,154,0.28308823529411764,600000.0,21743.0
SINT MAARTEN,False,1,305,145,0.47540983606557374,17.0,6.0
BAHAMAS,False,1,320,128,0.4,39.0,15.0
MARTINIQUE,False,1,451,123,0.2727272727272727,278.0,49.0
SAUDI ARABIA,False,1,122,122,1.0,9914.0,783.0
GUADELOUPE,True,1,365,122,0.33424657534246577,22747.0,1100.0
SAINT MARTIN,True,1,373,122,0.32707774798927614,3098.0,175.0
ANTIGUA AND BARBUDA,False,1,398,108,0.271356783919598,100.0,11.0
NEW CALEDONIA,True,1,462,104,0.22510822510822512,11410.0,709.0
SAINT VINCENT AND THE GRENADINES,False,1,369,104,0.28184281842818426,42.0,9.0
ANGUILLA,False,1,329,93,0.2826747720364742,5.0,1.0
SRI LANKA,False,1,641,86,0.13416536661466458,64976.0,2648.0
AFGHANISTAN,False,1,97,81,0.8350515463917526,2767.0,191.0
DOMINICA,False,1,221,78,0.35294117647058826,54.0,12.0
PAKISTAN,False,8,302,77,0.25496688741721857,17894.0,2184.0
TRINIDAD AND TOBAGO,False,1,253,72,0.2845849802371542,438.0,192.0
TAIWAN,False,1,52,52,1.0,0.0,0.0
WALLIS AND FUTUNA,False,1,210,52,0.24761904761904763,143.0,8.0
FRENCH POLYNESIA,False,1,282,52,0.18439716312056736,2119.0,91.0
VANUATU,False,1,253,40,0.15810276679841898,146.0,30.0
FIJI,False,1,247,36,0.145748987854251,5411.0,707.0
