factor,descriptor,n,rho,p,q
observation,log_dispersion,221,0.312,0.0,0.0001
structure,log_mean_weekly,221,-0.2,0.00277,0.0332
structure,log_cases,221,-0.19,0.00466,0.0373
observation,weeks,221,-0.171,0.01068,0.0641
structure,log_dispersion,221,-0.148,0.02802,0.1345
params,log_dispersion,221,0.093,0.16973,0.6789
train_frac,weeks,221,-0.079,0.24026,0.8237
observation,log_cases,221,-0.062,0.35753,0.9682
params,weeks,221,-0.057,0.39755,0.9682
train_frac,log_dispersion,221,0.042,0.53814,0.9682
observation,log_mean_weekly,221,-0.041,0.54123,0.9682
temp_form,log_dispersion,221,-0.034,0.61369,0.9682
structure,weeks,221,0.03,0.65817,0.9682
rain_lag,log_mean_weekly,221,-0.03,0.65836,0.9682
rain_lag,log_cases,221,-0.026,0.70525,0.9682
temp_form,weeks,221,-0.024,0.72612,0.9682
temp_form,log_cases,221,-0.017,0.8062,0.9682
temp_form,log_mean_weekly,221,-0.016,0.81186,0.9682
rain_lag,weeks,221,0.013,0.85079,0.9682
params,log_cases,221,-0.009,0.8988,0.9682
train_frac,log_cases,221,-0.008,0.90045,0.9682
rain_lag,log_dispersion,221,-0.006,0.92603,0.9682
params,log_mean_weekly,221,0.004,0.95165,0.9682
train_frac,log_mean_weekly,221,-0.003,0.96818,0.9682
